art,t,bpm,g,ln,s
ChouCho,Million of Bravery,160,2,3,48565
Nogizaka46,Yubi Bouenkyou (TV Size),180,3,3,1047484
Kevin Penkin,The First Layer,170,3,5,961620
Manami Numakura,Sakebe,197,3,3,550344
Masuda Junichi,Kessen! Daigo,205.5,2,5,1110715
Jeff Williams,Red Like Roses (feat. Casey Lee Williams),140,3,2,78400
Saratoga (CV: Uesaka Sumire),Souzetsu Gekkou,180,2,3,776159
uma,Vampin' Magic,175,2,2,685005
Taishi,worldenddominator (VW3 the Ending Edit),142,2,5,283439
sky_delta VS lapix,NEXT LEVEL,160,10,5,623246
Fukunaga Yoru,"Hitohira no, Daisuki o,",100,4,3,1221262
Sakura Miko,Sakurakaze,168,5,3,1175049
Nishino Kana,Darling,160,5,3,209810
cosMo@Bousou-P,End Mark ni Kibou to Namida wo soete,257,2,5,772055
"Mix Speaker's,Inc.",Shiny tale (TV Size),189,3,3,43236
Linkin Park,Leave Out All The Rest,80.04,4,2,110969
BilliumMoto,Rocky Buinne (Short Ver.),277,10,5,973954
HoneyWorks feat. Hanon x Kotoha,Sis x Love,167,5,3,1358634
BoA,Eien,160,5,3,14738
Masuda Junichi,Arceus,75,2,5,1122858
"Takakura Yuka, Hirose Yuuki, Kayano Ai, Ogura Yui, Harada Sayaka, Kito Akari",Happy*Material,163,3,3,679944
Yasui Yousuke,YO-KAI Disco,145.5,10,5,1262999
Trident,Blue Field,135,3,3,175968
Roses Epicurean,Yoru no Kodomo-tachi,115,5,3,947223
Falcom Sound Team jdk,Over Drive,167,2,5,40233
kors k,SigSig,179,2,5,27677
Hana to Onyx,Ariadne,248,4,3,1255970
Another Infinity feat. Mayumi Morinaga,Yumeutsutsu,143,2,3,96661
Isabel,Will My Heart Survive (Nightcore Mix),174.18,10,2,23889
TUYU,Shuuten no Saki ga Aru to Suru Naraba.,235,4,3,1523082
ChouCho,Authentic symphony,175,3,3,688538
nao,Dimension tripper!!!! (PV Ver.),188.2,3,3,107076
Jin ft. MARiA from GARNiDELiA,daze,198,3,3,165743
ginkiha,Star Chaser!,173,10,3,1124089
Hanatan,Ai no Scenario,180,4,3,343365
rejection,Aimai Attitude (feat. Nakamura Sanso),200,10,3,1601852
Luis Fonsi & Demi Lovato,Echame La Culpa,96,5,10,802056
Yonezu Kenshi,Flamingo,114,5,3,1210565
Se-U-Ra,Cris Fortress,155,10,5,1305819
"ChiliChill feat. Hua Ling, Miao*Jiang, Yan Ning ccccc, kinsen",Let the Wind Tell You,120,5,4,1384241
TeddyLoid,Theme for Scanty & Knee Socks,128,3,2,24886
YAMAGEN'S DEVILELIET,EYES OF DEVILELIET,100,4,5,36988
An,ExaVid,191,10,5,137393
Sakuzyo,Fracture Ray,200,2,5,950681
Panda Eyes,Euphoria,174,10,5,747818
Marie,Hyakka Ryouran Phantasm,176.7,2,3,39120
Kuraki Mai,Your Best Friend,98,3,3,210114
Annabel,Signal Graph (TV Size),167,3,3,55007
Half Polish,Hej Sokoly,175,10,5,1051396
Mayumi Morinaga,Affection feat. Another Infinity,156,3,3,106359
fruityz,sardoche.mp3,220,7,7,1177962
Avenged Sevenfold,Beast and the Harlot,77.59,4,2,6374
The Chainsmokers & Coldplay,Something Just Like This,103,10,2,611301
O2i3,Heart Function,185,10,5,1133480
Limonene,(please) replay,184,4,3,1279941
DIALOGUE+,Omoide Shiritori (TV Size),172,5,3,1515089
YUI,again,140,3,3,623911
utsuP,Adult's Toy,280,4,3,47846
THE ORAL CIGARETTES,Mou Ii kai?,192,4,3,1523126
Various Artists,Anime Songs Compilation,77,3,3,343728
sakanaction,Shin Takarajima,77,4,3,1188206
Chopin,Revolutionary Etude,145,2,5,66350
yuikonnu,Genjitsu Game,200,4,3,112210
Camellia,put' l'da,200,10,5,1013694
Qrispy Joybox feat. Tokiwa Yu,Shiratsuyu no Kaze,166,2,3,819743
Jun Ishikawa,Green Greens,180.26,2,5,57453
nano feat. MY FIRST STORY,SAVIOR OF SONG,192,3,3,150491
"Reol,nqrse",Ooedo Ranvu,134,10,3,703580
Aoi Eir,IGNITE (TV size ver.),171,3,3,190222
BLUE ENCOUNT,Polaris,190,3,3,1105766
Dr.Flowershirts,Canon (O2 version)+,81,2,5,5349
Liviu Hodor feat. Mona,Sweet Love,128,10,2,55117
Thaehan,Help,196,10,5,977631
sixtythree,I remember,90,6,5,346065
C418,Cat (Caution & Crisis Remix),175,2,5,1254499
Police Piccadilly feat. Hatsune Miku,Kire Carry On,170,2,3,824959
Camellia,This Future (we didn't expect),180,10,3,1374914
Renegade Masterz,Nasty Girl (Nightcore Mix),173.89,10,2,23940
Akaki Chikai,Smile Skill = Suki Skill! (TV Size),143,3,3,1101719
MY FIRST STORY,Itsuwari NEUROSE,188,4,3,365963
Kano,Ama no Jaku,200,4,3,754383
Nanahira x Camellia,INFINITI MOFULITY short ver.,180,5,3,705038
AKINO from bless4,MIIRO (TV Size),195,3,3,993307
YUC'e,Magical Mixer,175,10,5,680338
Ariabl'eyeS,Soukyuu no Rasen,160,4,3,1252722
Yamajet feat. Hiura Masako,Sunglow,180,2,3,712172
HoneyWorks,Watashi no Tenshi feat. Narumi Sena (CV: Amamiya Sora) (Cut Ver.),168,5,3,1366605
Silent Siren,Routine,176,5,3,859606
Sex Whales & Fraxo,Dead To Me (Instrumental),148,10,5,764602
Dirty Androids,Egret and Willow,196,10,5,821745
ULTRA TOWER,Kibou no Uta (TV Size),177,3,3,446418
Pedro Silva,World's End Valentine,150,10,5,1412590
M.Zakky,Tasogare ni Shitataru Chi wa Mitsu no Aji,84,2,5,329538
Infected Mushroom,The Legend of the Black Shawarma,145,10,2,652703
E.G.G.,OK I'm blue rat,128,10,5,1184988
ChuuToroP,Uta Catastrophe,150,4,3,78487
Zero Hero,Bass Drop,160,10,5,1381442
mikitoP,Sarishinohara,135,4,3,60953
Raujika,Roseo Neige,88,6,5,495334
150P,Makeinu Shijou Shugi,200,4,3,384792
La priere,Sore wa Sekai o Koete,173,5,3,1553883
The Doors,Riders On The Storm // (Infected Mushroom Remix),125,10,2,641775
MY FIRST STORY,Smash Out!!,195,4,3,478289
Juice WRLD,Legends,71,9,2,1191018
Zutt,HYMN,200,10,5,1393636
Guilty Kiss,KOWAREYASUKI,184,3,3,766867
Nico Nico Douga,Second Subway,149,7,3,17934
RD-Sounds feat. Meramipop/nayuta,Shiten,177,2,3,852901
Renard,Banned Forever,220,10,2,16349
supercell feat. Hatsune Miku,Black Rock Shooter (TV Size),165,3,3,44550
Halozy,Paranoid Lost,176,2,3,440925
PAGE,Expect (TV Size),165,3,3,76151
Hiro,Carol Megamix,157,2,5,64901
MaxNRG,Hide Away My Heart,174,10,2,1109266
Star Driver,5 Centimeters Per Second,150,10,2,239787
DJ Mars,Lemon Tree,142.57,5,2,8229
"Fear, and Loathing in Las Vegas",Chase the Light! <TV size>,186,3,3,327016
Apocalyptica,Hall of the Mountain King,34,4,5,340399
IAHN,Transform (Original Mix),174,2,5,877069
Wotamin,Cat Food,174,5,3,35258
Last Note.,Dead Line Circus,185,4,3,57174
HTT,"NO, Thank You! (TV Size)",181,3,3,18156
iNO,Suishoku Komachi Melancholia,139,2,3,802680
CHiCO with HoneyWorks,Kessen Spirit (TV Size),188,3,3,1092271
Aiurabu,Kani*Do-Luck! (TV Size),210,3,3,894883
ClariS,Connect (TV Size),175,3,3,1299019
Linked Horizon,Shinzou o Sasageyo! [TV Size],160,3,3,594230
Nanamori-chu * Goraku-bu,My Pace de Ikimashou,190,3,3,335145
Aqours,Kimeta yo Hand in Hand,191,3,3,507355
XXXTENTACION,Hope,146,9,2,1091268
every-ing!,Nyanko is LOVE!,147,3,3,556030
Renard,Intensive Care Unit (feat. FIAB),200.1,10,5,444699
Dirty Androids,City Never Sleeps,178,2,5,588177
angela,DEAD OR ALIVE,173,3,3,391193
Melano,On Fire,172,10,5,735319
AKB48,Namida Surprise!,136.83,5,3,43739
L.E.D.-G + Qrispy Joybox + ARM feat. Nanahira,Dokkin * Summer Adventure,180,2,3,849104
Dark PHOENiX,Shunshun Shuugetsu,194,2,5,1086990
toby fox,Snowdin Town,101,2,5,693679
Drop,TRICK or TREAT,106,6,5,952626
Nekomata Master,Avalon no Oka,158,2,5,317538
Taylor Swift vs. Slipknot,How You Get the Memories (Isosine Mashup),125,5,2,834845
WALKUERE,Zettai Reido Novatic,180,3,3,552252
Guns N' Roses,Sweet Child O' Mine,130.25,4,2,22690
Study,Seishun Seminar (TV Size),133,3,3,1012167
Minami,Kawaki o Ameku (TV Size),137,3,3,910293
Various Artists,osu!taiko Mashup,175,10,5,1294864
Camellia,"FLYING OUT TO THE SKY (covered by Nanahira, moimoi, Nana Takahashi)",244,11,3,1212452
DIVERSA,atlas,170,10,5,875591
SAKURAKOU K-ON BU,Happy!? Sorry!!,180,3,3,526180
Katou Emiri,Kaerimichi (TV Size),175,3,3,43516
Hatsune Miku & Kagamine Rin & Megurine Luka,@,180,10,3,37014
Hashimoto Miyuki,The Day Takeoff,160,2,3,30925
Yuya Matsushita,Trust Me,98,3,3,53070
DJ Siesta,Another Day,99,6,5,354179
Shihori,Day Breaker,165,2,2,91606
Julia Kovalchuk,Tolkni Menya (Push me),105,5,12,24198
Iguchi Yuka,Grow Slowly (TV Size),165,3,3,104264
yuki. feat. setsunan,Hello! World,170,10,5,785650
Yukinoshita Yukino (CV.Hayami Saori) & Yuigahama Yui (CV.Touyama Nao),Everyday World,154,3,3,433114
Camellia,Diastrophism,228,2,5,1067161
Team Nekokan feat. Amaoto Junca,Kokoro no Kara (TV Size),87,3,3,57451
Rie Kugimiya,Suki? Kirai!? Suki!!! (TV Size),168,3,3,34874
Shawn Mendes,Stitches (Sped Up Ver.),180,5,2,985295
Shokotan Daisuki Dempagumi,PUNCH LINE!,185,3,3,874345
Rin,Moriya set 08 ReEdit ~ Youkai no Yama,128,2,5,751866
Petit Rabbit's,Nichijou Decoration,125,3,3,187454
aran & t+pazolite,Chobit Flavor,180,10,5,1098377
Omoi,Kiseki sae mo,181,4,3,1357597
Sayuri,Sore wa Chiisana Hikari no Youna,144,3,3,427725
Roselia,Kiseki,85,2,3,787163
EYE XY feat. Yoneko,Knight of Firmament,155,2,5,812640
nao,Kirihirake! Roleplay*Star Girl,170,2,3,160691
Megpoid GUMI,Juu Mensou,144,4,3,26011
Akitsuki Fuuka CV:Lynn,Fair wind,190,3,3,587541
Usami Hiyori,Tenkiame,102,2,3,473491
Suzuki Konomi,Bursty Greedy Spider (TV Size),178,4,3,1420385
yanaginagi,Yukitoki (TV Size),164.5,3,3,87616
Naoki Miki (CV: Takahashi Rie),Friend Shitai,148,3,3,1022850
Inferi,The Promethean Kings,178,11,2,567468
Hatsune Miku,Hiatus,200,4,3,32046
THE ORAL CIGARETTES,Flower,192,4,3,1321324
Milky Holmes Cast,Seikai wa Hitotsu! Janai!! (TV Size),170,3,3,24333
Mitsudomoe Cast,Mittsu Kazoete Daishuugou! (TV Size),190,3,3,17755
Assertive,Skybound,175,10,5,111738
Mami Kawada,FIXED STAR,170,3,3,752526
Yousei Teikoku,last moment,193,4,3,1172342
Nordic Stars,Crying In The Rain (Nightcore Mix),161,10,2,41644
Reol,Logic Agent,190,4,3,578814
NOMA,Brain Power,170,10,2,546384
Unlucky Morpheus,"Top of the ""M""",208,11,3,1302388
Rita,Alicemagic (TV Size),166,3,3,847225
Zenpaku,Baka Oppai Theme (Short Ver.),180,10,3,713559
Fractal Dreamers,Fortuna Redux,200,10,5,712974
ecosystem,Dilemma,186,3,3,418313
yuikonnu,Gigantic O.T.N,190,5,3,1362797
yuikonnu,Yume no Mata Yume,152,4,3,812160
Ayane,Go Love&Peace (short size),128,2,3,303149
I.O.I,Whatta Man (Good man),150,5,6,536983
Korn,Word Up,116,4,2,9290
void,angelik-vice (full ver.),170,2,5,679876
"Kamui Gakupo, KAITO, Kagamine Len",Immoral Memory~The Lost Memory~,230,4,3,44898
KikuoHana,Nobore! Susume! Takai Tou,110,6,3,580273
Poppin'Party,Cherry Bomb,190,2,3,975062
Camellia,SCREW // owo // SCREW,228,10,5,1347043
clipping.,Wriggle,160,10,2,1103315
Myu,Panorama chime (Short Ver.),120,2,3,80200
Kalafina,Bad MagiApple,136,7,3,32003
ClariS,CLICK,135,3,3,1079691
MK feat. YURiE,Spiral,180,10,3,16668
KANA-BOON,Spiral,180,2,3,483441
Haru,Skygazer (Instrumental),140,2,5,9546
KyoKa,Ouran Romancia,148,2,3,1303113
Bangsili,Ah! Salvia (DJ Cheori Remix Ver.),138.41,5,6,20403
Waterparks,Hawaii (Stay Awake),170,4,2,689782
Avicii,Wake Me Up,124,5,2,108633
Okui Masami,Good-bye crisis (Short Ver.),178,2,3,25817
"Hanazawa Kana, Maeno Tomoaki, Ono Daisuke, Inoue Kikuko",Mission! Kenkou Dai Ichi (TV Size),186,3,3,819243
boy pablo,wtf,128,5,2,868432
soraru x mafumafu,HIBANA,200,4,3,691103
Poppy,I'm Poppy,94,5,2,838383
Meguro Shoji,Reach Out To The Truth,170,2,2,1049655
StekloVata,Novy God (feat. gr. Chernilnoye Nebo),143.6,5,12,549421
Yamazaki Erii,Last Promise (TV Size),172,3,3,989761
TheLaxOne,Skrillex Circulation,120,10,14,232505
Sayaka Sasaki,Snow halation,173,3,3,685864
Natsume Itsuki,Beginning,200,4,3,1173059
FOLiACETATE,Heterochromia Iridis,223,2,5,432303
ELISA,Wonder Wind,163,3,3,25168
ClariS,Connect,175,3,3,26116
C-Show,sideflip (tpz Despair Remix),190,10,5,804233
Ushirokara Haiyoritai G,Taiyou Iwaku Moeyo Chaos,143,3,3,52853
senya,Tsuki ni Murakumo Hana ni Kaze (Short Ver.),160,2,3,44518
Duca,Shiawase Teigi (Short Ver.),158,2,3,80125
Filthy,Comfort BLAST,335,10,5,448463
Flower,Akikaze no Answer,98,5,3,556945
_yosuke & MOKONA,Sumowind,100,13,3,44782
SPYAIR,Genjou Destruction,194,4,3,1175471
CircusP,Copycat,137,10,2,1176418
nano,"No pain, No game (TV Size)",190,3,3,1184314
LiSA,"Thrill, Risk, Heartless",200,3,3,1064829
Rhodanthe*,Jumping!!,175,3,3,152595
ClariS,Luminous,173,3,3,112408
XXXTENTACION,MOONLIGHT,128,9,2,967467
Ray,Baby -> Lady LOVE (TV Size),177,3,3,880281
Camellia & DJ Genki,Feelin Sky,174,10,5,1506616
DragonForce,Cry for Eternity,140,4,2,27448
"Tomatsu Haruka, Hanazawa Kana, Sanpei Yuuko","""HELLO!!""",173,2,3,46388
NDS vs Tom E,2gether 4ever (Clubraiders Remix),142,10,2,19933
fripSide,an evening calm,108,5,3,1618565
GReeeeN,Ai Uta (Taiko Cut),170,5,3,15901
LLENN (CV: Kusunoki Tomori),To see the future,137,3,3,1578717
OkameP,EdelWeiss,150,4,3,119911
Faylan,Dead END,183,3,3,46449
NBGMusic,skrill.,128,2,5,487440
"Fujita Akane, Miyamoto Yume, Ozawa Ari",Precious You* (TV Size),130,3,3,674701
BUTAOTOME,Haru no Yuki,220,4,3,1288476
Yorushika,Shikaki to Coffee,180,4,3,1532422
Tamura Yukari,MERRY MERRY MERRY MENU...Ne!,180,5,3,191524
Iori Nomizu,miele paradiso,176,3,3,478304
Cranky,Libera me,165,2,5,757813
Kikiyama,Yume Nikki,60,2,5,1023737
Yellow Zebra,Prism Love,100,2,3,52591
The All-American Rejects,Gives You Hell,100,4,2,3606
Kavinsky,Nightcall,91,10,2,882007
Camellia,POWA OF DA WILDANES,300,10,5,693222
Shiomiya Shiori starring Hanazawa Kana,Kizuna no Yukue feat. Shiomiya Shiori,148,3,3,347422
ALiCE'S EMOTiON,"under the black, over the shine",170,2,3,22222
Will Stetson,Lagtrain,147,5,2,1443224
Yasuda Mizuho,Yoake no Bell ga Naru,177,3,3,1270015
Takayoshi Tanimoto,Yeah! Break! Care! Break!,161,3,3,11764
yukizakurasou,"Natsukage ~Ano Hikoukigumo wo Koeta, Sono Saki e~",71,3,3,95746
Rap-bit & Ritsuka,When They Cry -Rosin Mix-,176,5,3,30252
ARForest,Birds of Plague,200,10,5,1241060
ETIA. feat. Jenga,On And On!!,170,2,5,874912
Tsukiyama Sae,Hana Saku Iro wa Koi no Gotoshi,200,2,3,1018567
dark cat,BUBBLE TEA (feat. juu & cinders),160,10,5,769917
Pocket Mirror Sound Team,Midnight Striken Clock ~ Glass Slipper,170,2,5,925760
R3 Music Box,Zen Zen Zense,132,3,5,1084773
Paolo Ligorio,The Colors Of My Life (Nightcore Mix),169.97,10,2,646724
Yun*chi,Your song*,130,3,3,370528
Sade,Smooth Operator,119.91,14,2,76170
*namirin,The Noise of Rain,204,4,3,602178
Etherwood,Cast Away,173,10,5,368466
Shimatani Hitomi,Destiny,146,5,3,5933
Inferi,The Abhorrent Art,245,11,2,1335192
kamome sano,Poker Face (kmsn_electro_bootleg_remix),132,3,3,311483
Chata,Nocte of desperatio,196,3,3,432401
Yuuki Aoi,Mata Ashita,125,3,3,172055
A Day to Remember,Have Faith in Me,150,4,2,54704
Camellia,Proluvies,162,2,5,283815
Ricky Martin,Livin' La Vida Loca,178,5,2,894111
"Wake Up, Girls!",Gokujou Smile,143,3,3,413125
BTS,Save ME,140,5,6,450917
Alvaro Soler,Sofia (Speed Up Ver.),146.79,5,10,508657
SCREEN mode,ROUGH DIAMONDS,190,3,3,540423
ZUN,Tabula Rasa ~ Snow White Echo,147,2,5,54611
Demetori,Mukau no Sato ~ Deep Mountain,168,2,5,284881
EX Industry,Memory,112,2,5,53301
mary,Leica,178,5,3,1242968
Kito Akari,Kimi no Tonari de (TV Size),198,3,3,1363369
Weezer,We Wish you a Merry Christmas! (Speed Up Ver.),176.42,4,2,133447
ClariS,Ai Wo Utae,180,3,3,725480
ChouCho,Melt,138,5,3,290541
5050,Jungle P (TV Size),145,3,3,53272
LiSA,"best day, best way",180,5,3,1474076
Sorry about my face,hello friend..,172,10,5,995054
cranky,Libera me,165,10,5,21178
THE ORAL CIGARETTES,CATCH ME,184,4,3,789885
Tristam,Follow Me,154,10,5,48901
nao,Dimension tripper!!!!,188,3,3,126749
KOTOKO,Floating up,147,2,3,878214
LM.C.,88 (TV Size),175,3,3,14084
Fox Stevenson,Flash,175,10,5,649081
Yasuda Rei,I&U (Speed Up Ver.),152.1,3,3,300360
Beyonce,Halo,80,5,2,30784
Nomy,Cocaine (Nightcore Mix),235.9,4,2,39153
HO-KAGO TEA TIME,Singing!,180,3,3,54083
Daniele Meo,Adesso Balla,140,10,11,25016
"MASA, Mari Yoshida, Kosuke Mizukami",I Just Wanna Tell You,118,2,2,621596
Minori Chihara,Kyoukai no Kanata (TV Size),185,3,3,120257
Tiara,Toki wo Tomete (feat. WISE),95,5,3,90111
nao,piece of azure,90,2,3,93888
Julian Smith,Racist Coffee,120,7,2,31284
Gorillaz,Clint Eastwood,168,9,2,10862
Feryquitous,Ordirehv,191,10,5,935602
Nomizu Iori,Black + White,96,3,3,84487
Marmalade butcher,Amanita,194,4,5,1473778
P*Light feat. yukacco,Stargazer (DJ Shimamura Remix),175,10,3,313831
a_hisa,My Little Hero,200,10,5,1105378
Lifetheory,The Showdown,175,10,5,1325151
Gigi D'Agostino,Bla Bla Bla,132.9,6,2,31380
PORNOFIL'MY,"Papa, Ne Pey!",184,4,12,936950
Yousei Teikoku,filament,85,4,3,1482580
Joji,YEAH RIGHT,84.5,9,2,817776
Nobuo Uematsu,Final Fantasy VI Battle Theme,167.2,2,5,8185
Linkin Park,ROADS UNTRAVELED,66.67,4,2,254923
scop,Crier,90,4,3,974021
Misun,Eli Eli (Maduk Remix),170,10,2,708908
Kurosaki Maon,Rakuen no Tsubasa (TV Size),155,5,3,1170057
M.Iz,Kakenukeru Anime Song Medley IV,192,3,3,297110
Demetori,Kanjou no Matenrou ~ World's End,178,2,5,420988
"Toshiki Aida, Ryosuke Asami",Main Theme,157,2,5,321429
Nishino Kana,if,123,5,3,73413
mary x jon-YAKITORY,Koko de Ikiteru (TV Size),190,3,3,1530839
Afterglow,Asu no Yozora Shoukaihan,185,2,3,971896
Yoshino Yuuji,"Shounin to Ookami to, Tabi no Nibasha",106,3,5,14726
SawanoHiroyuki[nZk]:mizuki,&Z (TV size),158,3,3,261145
Kazumi Totaka,K.K. Song,224.8,2,5,558640
KOTOKO,bumpy-Jumpy!,190,2,3,822997
Doja Cat,Say So,111,5,2,1096383
Nishino Kana,Wishing,146,5,3,71345
ASCA,Nisemono no Koi ni Sayounara with Wakeshima Kanon,175,4,3,1055201
Imagine Dragons x JID,Enemy,77,5,2,1652508
Ling Yuan yousa,Jin Li Chao,175,6,4,684393
CHiCO with HoneyWorks,Gamushara (TV Size),194,4,3,1513461
Yonezu Kenshi,Flamingo,114,5,3,1064501
Mimori Suzuko,Univer Page (TV Size),187,3,3,901187
YUPPA,Mimikyu no Uta,96,2,3,696351
senya,Tsuki ni Murakumo Hana ni Kaze (PV ver.),160,2,3,1122983
MYLK,SOAP (Original Mix),140,10,3,1055618
Camellia,"Feelin Sky (Camellia's ""200step"" Self-remix)",200,10,5,750457
Yousei Teikoku,Wahrheit,180,6,3,53923
Piair's,Tha Phleng Royal Guards March Pen Phleng Prakop Anime,200,4,5,1310356
AKB48,Beginner,160,5,3,50144
Misty Rain,Sakura no Sakanu wa Eiketsu no,152,2,3,59592
IOSYS,Cirno's Perfect Math Class,175,2,3,5285
Kageyama Hironobu,Ore wa Tokoton Tomaranai,186,3,3,2618
maki ligon,Despito (cursed eurobeat mix) - INITIAL Despacito,157,6,5,804230
KIRA,Circles (feat. GUMI),155,2,2,854098
AOA,Heart Attack,126,5,6,340444
LiSA,Akeboshi (TV Size),95,4,3,1590001
Fujiwara Chika (CV: Kohara Konomi),Chikatto Chika Chika (TV Size),178,3,3,918580
BLUE ENCOUNT,FREEDOM (TV Size),204,3,3,862121
"Taichi You, Yamane Nozomi, Naganawa Maria, Abe Rika",WISHNESS,184,2,3,975194
Rita,Haru Hana no Iro,165,2,3,43015
utsuP & Minatsuki Toka,Natsu Matsuri (TV Size),75,3,3,168217
Tatu,Ya Soshla S Uma - Album Version,90,5,14,3557
Sound Souler,Absent Color,192,2,5,1167827
JENNIE,SOLO,95,5,6,959292
fhana,Wonder Stella,193,3,3,362039
Various Artists,drop pop candy (Multi-Language Version),130,5,14,477623
sakuraburst,forest of the spirits,186,10,5,1053433
Kuroneko Dungeon,Lilieze to Enryuu Laevateinn,200,2,5,326608
Rise Against,Whereabouts Unknown,140.5,4,2,327188
MY FIRST STORY,REVIVER,200,4,3,737710
Rin,Muenzuka set 09 ~ Hana wa Gensou no Mama ni,100,2,5,1151630
Who-ya Extended,VIVID VICE (TV Size),184,4,3,1350397
"Pile, Mimori Suzuko, Nanjo Yoshino",soldier game,132,3,3,212091
SisterS,Hidamari Days,134,3,3,501498
Monster Musume Cast,Saikousoku Fall in Love (TV Size),132,3,3,976108
Hatsune Miku,"Last Night, Good Night",84,4,3,2585
COOL&CREATE,"Help me, ERINNNNNN!!",185,2,3,5346
yanaginagi,Megumi no Ame (TV Size),182,3,3,1146827
Andreas & Nicolas,Les vaches (rencontre du 3eme pis),170,4,7,326201
jung jaeil,Way Back then,98,13,5,1600415
Yousei Teikoku,Tamakui,165,3,3,12215
Camellia,Flamewall,300,11,5,1540868
Igorrr,Mastication Numerique,220,6,5,54182
Kato Megumi (CV.Yasuno Kiyono),M flat,160,3,3,444962
Yorushika,Ano Natsu ni Sake,160,4,3,633441
Nanamori-chu * Goraku-bu,My Pace de Ikimashou (TV Size),190,3,3,33154
ZUN,The Venerable Ancient Battlefield ~ Suwa Foughten Field,168,2,5,100444
Eluveitie,Isara,80,4,5,326121
"Hatsune Miku , Megurine Luka , KAITO",Acute,114,4,3,19242
Korol' i Shut,Marionetki,156,4,12,732950
Kola Kid,press start,200,10,5,1126522
LiSA,Gurenge (TV Size),135,3,3,956590
Pendulum,Propane Nightmares (VIP Remix),174,10,2,12827
Yoko Shimomura,The 13th Struggle,179.98,2,5,10640
Rameses B,Timeless ft. Veela,175,10,2,300330
Memme,Blessing Snow,175,10,5,688128
HoneyWorks feat. sana,Ijiwaru na Deai,100,5,3,495222
Mikakuning!,Tomadoi Recipe,170,3,3,154114
Loki,Interlude,175,4,5,1091243
amazarashi,Kisetsu wa Tsugitsugi Shindeiku -Tokyo Ghoul Root A Edit-,181,3,3,439104
Disasterpeace,I Am Only a Man,160,2,5,781644
Irodorimidori,Bokura no Freedom DiVE,204,4,3,1569184
Masayoshi Minoshima,"Bad Apple!! feat. nomico (Camellia's ""Bad Psy!!"" Remix)",160,2,3,1055080
VINXIS,Sidetracked Day,188,10,5,762693
Mizuki Nana,VIRGIN CODE,200,5,3,304553
Camellia,overcomplexification,190,10,5,1484214
HTT,Honey sweet tea time,165,3,3,23467
Gaim no Kaze,JUST LIVE MORE (TV Size),190,4,3,974111
MIMI,Lapis Lazuli (Cut Ver.),190,5,3,1121028
Heartsdales feat. SOUL'd OUT,Candy Pop,105,3,3,4900
Chino (CV: Minase Inori),Ashita Genki ni Naare!,170,3,3,878807
HoneyWorks,Akatsuki Zukuyo,154.59,4,3,332800
Lime,8bit Adventurer,197,10,5,1225007
THE ORAL CIGARETTES,Mou Ii kai?,192,4,3,1269899
Sawamura Spencer Eriri (CV.Oonishi Saori),Blooming Lily,142,3,3,432290
BLACKPINK,Kill This Love,132,5,6,1092466
Jenny Nicholson,The Gypsy Bard,119.96,5,2,65886
Lamb of God,Laid to Rest,139,11,2,678365
MUZIK SERVANT feat. TAM,Upright Blue,175,2,3,56450
otetsu,Yokuatsu Sakuran Girl,165.01,4,3,195582
Lon,MATRYOSHKA,205,4,3,109185
Itou Kanako,Hacking to the Gate (TV Size),161,3,3,30123
Duca,eternal,168,2,3,500956
Matrix & Futurebound,Fire (feat. Max Marshall),174,10,2,957835
Wolpis Kater,Kuusou Ressha,175,4,3,532596
Kenshi Yonezu,Peace Sign (TV edit.),200,3,3,593466
Parry Gripp,Guinea Pig Olympics,160,5,2,1031162
Aqours,Omoi yo Hitotsu ni Nare,141,2,3,668084
Yorushika,Yoru Magai,180,5,3,1163834
Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),150,9,2,1539995
Psycho Teddy,Psycho Teddy,137,10,2,27901
MADKID,RISE (TV Size),165,3,3,904629
Chino (CV: Minase Inori),Ashita Genki ni Naare! (Cut Ver.),170,5,3,1359997
The Chalkeaters,DOOM CROSSING: Eternal Horizons (feat. Natalia Natchan),160,4,2,1280798
Fox Stevenson,Let This Go,175,10,5,304976
ASCA,CHAIN (TV Size),192,3,3,1096024
senya,Iro wa Nioedo Chirinuru o(OPver.),138,2,3,226789
nayuta & yuikonnu,Super nuko ni naritai,194,4,3,494097
AK X LYNX ft. Veela,Virtual Paradise,174,10,2,375125
IKIMONOGAKARI,Blue Bird feat. k*chan [ dj-Jo Remix ] TV Size,152,3,3,1114337
LAMA,Spell,147,3,3,406860
nekodex,osu!stream theme,160,2,5,469815
Yousei Teikoku,Soushi,82.5,4,3,1255776
Mr.Kitty,Insects,150,10,2,271183
M2U,Dual Fractal,160,2,5,994663
sajou no hana,Gray (TV Size),96,3,3,1107257
*namirin,Hitokoto no Kyori,180,5,3,609569
Sawai Miku,Colorful.(Anime ver.),153,3,3,260115
Toby Fox,Rude Buster,140,2,5,1241797
Nana Mizuki,Phantom Minds,150,3,3,12088
halca,Kuchiba Iro no Oto,180,5,3,1043158
Pendulum,Watercolour,174,10,2,109751
"Azumi Waki, Marika Kouno, Machico",Umapyoi Densetsu,170,2,3,664462
Poppin'Party,Senbonzakura,154,2,3,765565
Suzuki Konomi 'n Kiba of Akiba,Watashi ga Motenai no wa Dou Kangaete mo Omaera ga Warui!,200,3,3,109373
