art,t,bpm,g,ln,s
KOTOKO,SWEET x SWEET,177,5,3,1262210
Cutline,Die For You (Shock One Remix),175,10,2,155285
Hatsune Miku,Yellow,127,2,3,17624
Drop,Yunagi Rinne,154,2,3,14460
Coldplay,Paradise,140,5,2,59619
Isekai Joucho,Hydrangea,133,4,3,1379378
Uema Emi,Catch Light,174,5,3,1322295
Misato Aki,Glitter,180,2,3,365826
Origami Angel,666 Flags,107.5,4,2,1396650
Void_Chords feat. LIO,FLARE (TV Size),164,3,3,1000078
Sleeping With Sirens,Kick Me,220,4,2,1038902
Azusa Tadokoro,Junshin Always,180,3,3,402187
Angela Chang,Aurora,84.94,5,4,611812
Itowokashi,Aoi Honoo (TV Size),136,3,3,1128882
SUPER STAR -MITSURU-,SA.YO.NA.RA. SUPER STAR,170,2,5,38959
yuikonnu,Kakushigoto,200,4,3,504245
Asakura Momo,Ashita wa Kimi to.,180,5,3,1474462
Suzuyu,Mezameta Asa ni wa Kimi ga Tonari ni (TV Size),140,3,3,154334
ROUND TABLE feat. Nino,Let Me Be With You (TV Size),132.25,3,3,48366
Jeff Williams,I Burn (feat. Casey Lee Williams),146,3,2,138369
Kylee,CRAZY FOR YOU,162,5,3,37455
Feint,Face Down,175,10,5,240329
Ayano Mashiro,ideal white,180,3,3,240028
Aso Natsuko,Perfect-area complete! (TV Size),183,3,3,842592
LiSA,Tsumibito,185,5,3,945516
Nakajima Megumi,Ninjin Loves you yeah!,160,3,3,29688
yak_won,Sewing Machine,150,2,5,350295
Gaku,counterattack,220,11,5,1481710
Galileo Galilei,Arashi no Atode,75,3,3,557368
Akiyama Uni,Kanpan Tasogare Shinbun,180,2,5,388036
Naru Sekiya,Yorokobi Synchronicity Naru ver.,165,2,3,356823
Tsunku & Masami Yone,Game Select (That's Paradise Instrumental),170,2,5,40826
Phonetic,Journey,172,10,5,795432
LiSA,Gurenge (TV Size),135,3,3,952725
Tanimoto Takayoshi,Mienai Tsubasa (TV Size),170,3,3,701601
Kanon Wakeshima,Foul Play ni Kurari (TV Size),163,3,3,65114
Dark PHOENiX,Ryokugan no Jealousy,218,2,5,382455
Yukarinyan,Lolicon de Yokatta~,160,7,3,187430
DJ YOSHITAKA,ALBIDA,185,2,5,21457
Hanatan,Romeo and Cinderella,170,4,3,132591
Hotaru Murasaki,Re:TrymenT,190,2,3,651062
Sangatsu no Phantasia,PINK LEMONADE (TV Size),191,5,3,1327577
TRUSTRICK,Recall THE END (TV Size),183.75,3,3,1020042
UNISON SQUARE GARDEN,Sugar Song to Bitter Step,132,3,3,302787
Linked Horizon,moshi kono Kabe no Naka ga Ikken no Ie dato shitara,82,3,3,278357
Who-ya Extended,VIVID VICE (TV Size),184,4,3,1350397
Yuyoyuppe,Reon,182,4,3,1370255
Gakuen Seikatsu-bu,Friend Shitai,148,3,3,368566
Wasuta,Pretty*Channel (TV Size),178,3,3,782157
Rib,Yonjuunana,172,4,3,580994
AOP,Zenryoku Batankyuu (TV Version),155,3,3,430576
Hanasaka Yui (CV: M.A.O),Harumachi Clover (TV Size),142,3,3,866408
Kitamura Eri,STARLET SEEKER,200,5,3,1085124
Suzuki Konomi,Theater of Life (TV Size),198,3,3,1225615
every-ing!,Kesaran Pasaran TV size,168,3,3,303324
Roselia,Guren no Yumiya,181,2,3,924403
StylipS,MIRACLE RUSH (TV Size),168,3,3,48465
CORO MACHIKADO,YOIMACHI CANTARE (TV Size),171,3,3,1047781
Tommy heavenly6,monochrome rainbow,137,3,3,161657
fhana,tiny lamp,179,3,3,599627
m-flo + daoko,IRONY (el poco maro Remix),176,2,3,537172
Police Piccadilly feat. KAFU,Furachi na Kassai,158,4,3,1493511
DJ Okawari,Flower Dance,100,6,5,33688
EGOIST,Namae no Nai Kaibutsu (TV Size),180,3,3,1031560
Hayaya-P,Ping-Pong Dash!,172,6,3,58051
Nekomata Master feat. Mayumi Morinaga,Sleepless Days,188,2,3,842312
Choucho,When the First Love Ends,180,4,3,25451
Rudebrat,The Quick and the Dead,175,10,5,772288
ReoNa,Scar/let,175,2,3,1207707
Commercial Club Crew vs Clubmaster,Sakura Girl,142,10,2,21656
Ricky Montgomery,Cabo,145,4,2,1035982
"Masuda Junichi, Adachi Minako",Sentou! Yuuki / Haruka,188.15,2,5,1194330
Tsuji Ayano,Kaze ni Naru,134.93,3,3,544724
KOAN Sound,Strike,172,10,5,440827
TWICE,Heart Shaker,125,5,6,705597
Paolo Ligorio,The Colors of My Life,141.99,10,2,24900
HoneyWorks feat. sana,Ima Suki ni Naru.,170,4,3,1029312
Inori Minase,MELODY FLAG,182,5,3,613403
yanaginagi,Yukitoki,160,3,3,645256
Camellia,Quaoar,174,10,5,836856
SPYAIR,I'M A BELIEVER (TV Size),194,3,3,1200805
KOTOKO,Light My Fire (TV Size),186,4,3,1578248
Kagura Nana,Kodou (TV Size),90,5,3,1509265
Ikimonogakari,Netsujou no Spectrum (TV Size),160,3,3,1250507
Kito Akari,Kimi no Tonari de (TV Size),198,5,3,1424733
Josh A & Jake Hill,Worst Mistakes (Cut Ver.),82.5,5,2,1312306
Gabry Ponte,Geordie,137,10,11,789611
S.S.H.,The Decisive Battle with the Fugitives,226,2,5,145215
MIOYAMAZAKI,Noise,225,3,3,664507
THE ORAL CIGARETTES,Miss Tail,180,4,3,1022426
Gunther,I'm Not Justin Bieber B**ch,132.12,7,2,139605
Doin,Further,194,2,5,780833
Primary,Kokoro no Yakusoku,150,5,3,181816
Natsume Chiaki,Hikarakuyo,158,4,3,113813
Various Artists,GIRLS' LEGEND U,205,2,3,1486797
nano.RIPE,Kage Fumi,155,3,3,252815
Alex Mercer Mashups,SpiceTrousle,150,10,5,383266
55x55,NIKOLAY (feat. Nikolay Sobolev),130,10,12,650120
Tsunamaru,paranoia,150,5,3,77999
Cascada,How Do You Do (Nightcore Mix),177.5,10,2,203787
Aimer with chelly (EGOIST),ninelie (TV size),86,3,3,445038
Yunomi,Koi no Uta (feat. Yuzaki Tsukasa (CV: Kito Akari)) (TV Size),160,10,3,1271261
yassu feat. Tina,Yuujou >>> (Koerarenai Kabe) >>> Renai,152,2,3,844415
Kano,Himekoi,155,5,3,454637
MIMI feat. Hatsune Miku,Ai no Sukima,204,5,3,1323207
EX Industry,Memory,112,2,5,53301
Black Raison d'etre,Van!shment Th!s World (TV Size),167,3,3,141956
Klava Koka & NILETTO,Crush,150,5,12,1246201
Ranko,Sei Natsu,200,2,3,58785
Adust Rain,Misery Song,205,4,3,1201708
Lia,Bravely You (TV Size),150,3,3,334239
EGOIST,The Everlasting Guilty Crown,172,3,3,218766
Niko,Night of Fire,157.71,2,2,18923
Nishikino Maki(CV.Pile) & Yazawa Nico(CV.Tokui Sora),Zurui yo Magnetic today,180,3,3,455273
Machico,Korekara (TV Size),162,3,3,805618
kors k,smooooch,177,2,2,64535
twenty one pilots,Levitate,186,9,2,1026205
hitorie,3-pun 29-byou (TV Size),203,4,3,1438780
OctagonCollaboration,8 Sides of Nico Nico Douga,183,7,2,173650
Analogfish,Speed,204.35,3,3,797982
CLIFF EDGE,Endless Tears feat. Nakamura Maiko,99,5,3,818406
sumika,Fiction (TV Size),123,3,3,826106
Demetori,Solar Sect of Mystic Wisdom ~ Nuclear Fusion,185,2,5,52401
Ogura Yui,winter tale,184,5,3,747471
Imy,Falldown,183,4,3,1260515
REOL,Kamisama ni Natta Hi,97,5,3,623748
Haruka Shimotsuki,Nijiiro no Kisetsu e short ver.,164,2,3,526158
"Ichiki Mitsuhiro, Masuda Toshiki",Akekure Nikki,142,3,3,523619
Takagi-san (CV: Takahashi Rie),AM11:00 (TV Size),98,3,3,1373851
Yooh,Ice Angel,168,10,5,297933
Endoh Masaaki,Vital (TV Size),200,3,3,847073
LiSA,Yuke,180,5,3,1604123
Carly Rae Jepsen,I Really Like You,122,5,2,326748
Project Grimoire,Caliburne ~Story of the Legendary sword~,170,2,5,625881
Akiakane,Sayoko,133,4,3,244256
Yamanote Line,Yamanoted heaven [Yamanote Line x Second_heaven],148.95,7,3,176702
DECO*27 feat. marina,Aimai Elegy,210,4,3,1126026
*namirin,Koishiteiku Planet,185,5,3,916990
Milky Bunny,I Wish (TV Size),162,3,3,48449
EARPHONES,Ikken Rakuchaku Goyoujin,166,3,3,553570
EGOIST,Namae no Nai Kaibutsu,180,3,3,1419149
kradness,Otsukimi Recital,195,5,3,474227
Perfume,Kokoro no Sports,140,5,3,61482
NateWantsToBattle,THE DAY,166.2,4,2,1464434
Tune Up!,Bounce (Nightcore Mix),177.5,10,2,24315
Matsuda Arisa (CV: Murakawa Rie),Chou Jou Genki Show*Idol ch@ng!,170,3,3,957444
ONE OK ROCK,Mikansei Koukyoukyoku,195,4,3,879053
Apocalyptica,2010 (feat. Dave Lombardo),194,4,5,324990
Apocalyptica,Ion,182,4,5,256723
StylipS,MIRACLE RUSH (TV Size),168,3,3,49740
GARNiDELiA,ambiguous,178,3,3,303867
nao,Dimension tripper!!!! (PV Ver.),188.2,3,3,91963
MitiS,Touch (Original Mix),174,10,5,255311
Masami Ueda,Shinshu Hirahara Sono Ni,130,2,5,613438
HAG,Dokuhaku,170,5,3,1093876
Kurosaki Maon,Last Desire (TV Size),170,3,3,786963
t+pazolite feat. Rizna,Boom Boom Taoismic,175,10,3,104867
LIP x LIP,Chiisana Lion feat. Minami (CV: Toyonaga Toshiyuki),188,5,3,905572
"Wake Up, Girls!",Tachiagare! (TV Size),152,3,3,143916
ClariS,Hirahira Hirara,111,5,3,643903
Feryquitous,Central Nucleus,175,10,5,814673
AcesToAces,Memory Lane,128,10,3,888887
Zmey Gorynich,Sorochinskaya Yarmarka,220,11,12,1191853
Kurosaki Maon feat. TRUSTRICK,DEAD OR LIE (TV Size),184,3,3,1020041
sana x 000 x mary,Ai Kotoba III,137,5,3,1149018
Len,U.N. Owen was Her?,180,2,5,27575
Duca,COLD BUTTERFLY,190,2,3,125380
Kagamine Rin,Melancholic,140,5,3,22806
Fujikawa Chiai,Atashi ga Tonari ni Iru Uchi ni (TV Size),91,3,3,958066
BRILLIANT4,Subarashiki FUN!TASY,173,3,3,237995
Coalamode.,Nanairo Symphony (TV Size),155,3,3,1635996
765PRO ALLSTARS,READY!! (TV Size),174,3,3,40287
Akatsuki Records,Trance Dance Anarchy,195,2,3,1124084
Kita Shuuhei,Soul Phrase,176,4,3,1403712
MitiS,Living Color (Original Mix),174,10,5,767988
ALTIMA,Burst The Gravity,148,3,3,81567
Alan Walker,All Falls Down (feat. Noah Cyrus with Digital Farm Animals),98,10,2,706285
Starset,It Has Begun,192,4,2,811195
Ryu*,Sakura Mirage,187,2,5,205022
"Comic Girls (Akao Hikaru, Hondo Kaede, Onishi Saori, Takahashi Rie)",Memories (TV Size),169,3,3,775604
ChouCho,DreamRiser,165,3,3,68916
Utsu-P,TRAUMATIC,240,11,3,499478
"Kugimiya Rie, Horie Yui, Kitamura Eri",Complete,146,2,3,142081
mafumafu,Idola no Circus,181,4,3,960068
Aimer,Hoshikuzu Venus,73,5,3,629373
mao,Owaranai Sekai (Short Ver.),150,2,3,35616
Nekomata Okayu,Wakusei Loop,170,5,3,1310761
Kuribayashi Minami,True Blue Traveler (TV Size),170,3,3,120000
xi / R3 Music Box,FREEDOM DiVE,222.22,2,5,761041
xi,Glorious Crown,225.5,2,5,558694
Serj Tankian,Sky Is Over,105,4,2,46304
poiss,nostalgia,169,9,14,1494766
cillia,FIRST,190,4,3,323961
ASCA,Gyakkyou Spectrum,187,5,3,1637174
Machine Girl,ATHOTH A GO!! GO!!!,180,10,2,1127207
Jun Kuroda,Natsukaze to Kimi no Egao,174,10,3,1342680
Ayakura Mei,Puzzle Maker,136,2,3,393384
ETIA.,Lost Love,185,10,5,341933
T.M.Revolution,RAIMEI (Thunderbolt Fantasy Tourikenyuuki OP ver.),180,3,3,607392
maoto,Himawari no Saku Basho ~daydream flowers~,95,3,3,357575
Steklovata,Steklovata,118,5,12,640064
BRIGHT,Ichinen Nikagetsu Hatsuka,119,5,3,50270
Mami Kawada,See visionS,164,3,3,533712
YOASOBI,Yasashii Suisei,90,5,3,1499145
Afterglow,Y.O.L.O!!!!!,128.5,2,3,878211
Nizikawa,F.K.S.,185,2,5,385427
sajou no hana,Aoarashi no Ato de (TV Size),194,3,3,1347448
binaria,Kamiiro Awase,150,3,3,506771
Hinatabi Bitter Sweets & Coconatsu,Chocolate Smile,196,5,3,648659
Ray,Nagi,129,3,3,192283
Lite Show Magic (t+pazolite vs C-Show),Crack Traxxxx,220,2,5,139525
Sharlo & yealina,Kakushigoto,200,4,3,208095
Spica,Grow Up-Shine! (TV Size),174,5,3,1425992
Pitbull,Timber ft. Ke$ha (Speed Up Ver.),156,10,2,232451
l ACE l,Fuck Her Right in the Pu**y (#Selfie & Freaks Remix),128,10,2,328597
Higuchi Kaede,MARBLE,187,4,3,1189212
Darren Korb and Ashley Barrett,In the Flame,164,2,2,469756
Halozy,Shining / STREAM,155,2,3,419244
Tojo Nozomi (CV.Kusuda Aina),Love Live! NOZOMI Mix Songs Compilation,90,3,3,351606
Haruna Luna,Kimiiro Signal,164,3,3,326621
Hatsune Miku,Senbonzakura (Short Ver.),154,4,3,36858
Ceui,Rainbow Days,170,2,3,1078381
KOTOKO,"Sakura Mau Saka o, Kimi to Aruku",164,2,3,163434
8284 vs wa.,Adularescence,190,2,5,119438
LiSA,crossing field (TV Size),179,3,3,55436
P!nk,Try,104,4,2,123736
ClariS,border (TV Size),178,3,3,967541
Utsu-P,Galapagos de Warui ka,220,11,3,795379
Shakira,Can't Remember to Forget You feat. Rihanna,138,5,2,1326967
Muzzy,Break Away (feat. Priority One),175,10,2,789823
M2U,A Bella! (feat. Lucy),160,2,14,799084
FELT,Lies in Reality,204,2,2,412270
Nekomata Master+,Kung-fu Empire,177,2,5,173288
Morohoshi Sumire,Masshiro (TV Size),178,3,3,1056629
ONE OK ROCK,20/20,165,4,2,608415
(K)NoW_NAME,Freesia,90,3,3,626728
*namirin,The Noise of Rain,204,4,3,602178
Nonohara Yuzuko(CV:Okubo Rumi),HappyDays*,180,3,3,287453
M2U,Marigold (ft. Guriri),160,2,2,594884
Yousei Teikoku,Astral Dogma,180,11,3,1008085
Lady Antebellum,Compass,100,5,2,667741
Fractal Dreamers,Ad Astra,210,10,5,965651
Suzuki Konomi,DAYS of DASH,160,3,3,478496
Takanori Nishikawa,Bright Burning Shout,180,2,5,785890
Powerless feat. Sennzai,Lost Desire,170,2,3,1187717
FLOOR LEGENDS -KAC 2012-,KAC 2012 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX-,200,2,5,296505
RADWIMPS,Nandemo Nai ya (movie ver.),84,3,3,514204
Earth Star Dream,Yumeiro Toridori Parade,138,3,3,710261
Ohashi Ayaka,Wagamama MIRROR HEART (TV Size),181,3,3,555617
Yooh,Dynasty,189,2,5,83094
Cranky,Hanaarashi,170,10,5,751771
MK feat. CAMRY + mi-mi,Treasure,180,3,3,15291
Orianthi,According To You,131,5,2,11680
DragonForce,Ashes of the Dawn,180,11,2,786141
Suzuki Konomi,THERE IS A REASON,134,3,3,641718
IOSYS,RE:Usatei,175,2,3,31343
Tokiwa Yu,Camomile Bathroom,168,2,3,897569
YOASOBI,Gunjou,135,5,3,1318120
Demetori,Heartfelt Fancy ~ Prie a Dieu,85,2,5,248162
konore,Kiga to Hougyoku (Game Ver.),191,2,3,1144382
tsunamaru,Orange Genome,135,5,3,61278
Sadohara Kaori,Day to Story (TV Size),140,3,3,699745
Fukunaga Yoru,"Hitohira no, Daisuki o,",200,2,3,810607
DJ Siesta,Another Day,99,6,5,354179
Zektbach,Kagachi,170,2,5,894104
ALiCE'S EMOTiON,"under the black, over the shine",170,2,3,22222
Morohoshi Sumire,Masshiro (TV Size),178,5,3,1235169
hololive IDOL PROJECT,Yumemiru Sora e,180,5,3,1136612
MUKKA,DEVOCHKA S KARE,150,5,12,956109
Maaya Sakamoto,CLEAR,78,3,3,717166
SHW,Ikusa JAPAN (shw.in),145,13,5,46660
toby fox,Snowdin Town,101,2,5,528293
Baby's breath,Kusabi (TV Size),192,3,3,875578
ESTi,HELIX (Edit ver.),175,2,5,730814
xi,Akasha,185,10,5,403427
"Ichiki Mitsuhiro, Masuda Toshiki",Hanamaru Shirushi no Hi no Moto de,184,3,3,716976
Amidst & OHEY,Need U (Cut Ver.),164,10,5,1319384
HOUJIROU,Maihime ~buki~,170,2,5,28765
Juice WRLD,Lucid Dreams,84,9,2,1076285
Hanatan,Kimi no Kiseki,190,4,3,80624
senya,Renbei no Searchlight,170,2,3,491057
Aoi Eir,Cynthia no Hikari,166,5,3,1563619
Uzuki Shimamura (CV: Ayaka Ohashi),S(mile)ING!,178,5,3,1308477
Daiichi Uchuu Sokudo,SUPERORBITAL,176,2,3,35551
TRUE,Another colony (TV Size),169,3,3,1386045
KASAI HARCORES,Trinity Homerun,175,10,5,881996
Ni-Sokkususu,Blade Dance,187,3,3,756511
Yamamoto Mineko,Rinne,179,2,3,999356
ESTi,HELIX (Edit Ver.),175,2,5,331732
Kawano Marina,Morning Arch (TV Size),164,3,3,29882
BlackY,BEMANI MEDLEY -bpm180-,180,2,5,54409
Sky Peace,Ame ga Furu kara Niji ga Deru (TV Size),186,3,3,811447
Primary,Shinon,90,5,3,909739
Jaymes Young,Habits Of My Heart,134,5,2,223719
Takanashi Yasuharu,Doku Ryuu no Cobra,200,4,5,1561963
Kitakou Bungeibu Joshikai,Fure Fure Mirai,172,3,3,337188
Zomboy,Nuclear (Hands Up),87,10,5,449299
Renard VS The Quick Brown Fox,WANDERLUST Reprise,180,10,2,85251
ZAQ,Serendipity,173,3,3,526839
mimimemeMIMI,Sayonara Usotsuki (TV Size),182,3,3,808100
*namirin,Hitokoto no Kyori,180,5,3,667290
Feryquitous feat. Aitsuki Nakuru,Kairikou,205,4,3,832836
MomoKuro-tei Ichimon,Nippon Egao Hyakkei (TV Size),160,3,3,57368
Chino(CV.Minase Inori),Shinsaku no Shiawase wa Kochira!,175,3,3,588701
T.M.Revolution,FLAGS,175,3,3,395160
Shiori Mikami,"Watashi, Shuyaku no Akaza Akari Desu (Short Ver.)",190,3,3,48072
Ayane,Senpuu no Mai [Ten],160.05,2,3,628368
toby fox vs. Ferdk,Battle Against a True Hero,150,2,5,576030
Vicetone,Kaleidoscope,123,10,2,532417
ChouCho,Yasashisa no Riyuu (TV Size),177,3,3,49387
Venetian Snares,She Runs,224,6,5,319890
Amuro vs Killer,Mei,200,2,5,25605
L'Antica,Shinography (L'Antica Ver.),172,5,3,1496040
Silent Siren,Koi Yuki,110,5,3,231476
SCANDAL,HARUKAZE (TV Size),165,3,3,39249
KiRaRe,367Days,180,2,3,1044333
Chitose Sara,Arcadia,178,2,3,810877
Imperial Circus Dead Decadence,Danzai No Honoo To Koibito-Tachi No Rondo,174,4,3,961431
Hige Driver join. SELEN,Dadadadadadadadadada,156,2,3,206750
Weebl,Amazing Horse,150,7,2,54631
iojjj,Akui to Ai no Sukima no Puzzle,100,2,3,147430
yuikonnu,AOI-IRO STEP,190,5,3,291386
Soma Saito,Hikari Tatsu Ame,165,3,3,634463
FREDERIC,Kanashii Ureshii,142,3,3,635597
Hatsune Miku,Miku Miku ni shite ageru,1363.64,10,3,1067
Hatsuki Yura,Drivi'n greedy,173,2,3,379791
Marika,Soul Release short ver.,188,2,3,655770
LAMP IN TERREN,innocence,196,3,3,992464
Shinra-bansho,Zenryoku Happy Life,190,2,3,806350
METAROOM,PINK ORIGINS,185,10,5,1589495
Rostik,Liquid (Paul Rosenthal Remix),133,10,5,123593
Ami,"The World: Stars, Skies, and Paths",176,2,3,712391
Bora,Shine,183,2,6,809992
Kitadani Hiroshi,We Go! (TV Size),176,3,3,787134
UNDEAD CORPORATION,Sad Dream,200,11,2,1019827
ShockOne,Polygon (feat. Reija Lee),175,10,2,194188
Iguchi Yuka,Lostorage (TV-size),189,3,3,510931
Yonder Voice,Setsugen Tir na nOg off vocal,165,2,5,473862
Nightcore,Lucky Star II,168.7,10,2,9651
SYNC.ART'S,Garasu no Kairou,160,2,3,57175
9nine,With You / With Me,132,3,3,301246
S-C-U,concon,190,2,5,62951
supercell,Hoshi ga Matataku Konna Yoru ni,150,2,3,294042
Krewella,Come And Get It (Razihel Remix),110,10,2,803126
Miku Sawai,Colorful. (AnimeVer.),153,3,3,529594
96,Shining Wizard,158,2,5,55802
narco & capo,Fragments,160,2,3,13582
Kurosaki Maon,Memories Last,173,3,3,687534
Plasmagica,Have a nice MUSIC!!(TVedit),172,3,3,375264
SAKANAMON,Fumeikakuna Seikai,198,4,3,1552743
WHITE ASH,Insight (TV size),179,3,3,371045
Mizuno Saaya,My Secret (TV Size),184,3,3,1123648
M2U,Wicked Fate,140,2,5,591635
Nanahoshi Kangengakudan,IMAGINARY LIKE THE JUSTICE,190,4,3,1386585
Larval Stage Planning,Trip -innocent of D- (TV Size),164,3,3,42731
Gakuen Seikatsu-bu,Friend Shitai (TV Size),148,3,3,969121
AliA,AliVe,170,5,3,1034823
Kawada Mami,as x sist ~Amae Beta na Watashi Nari ni~ (Short Ver.),168,5,3,836969
SLAVA MARLOW,Po Glazam,151.5,9,12,1285341
DragonForce,Seasons,193,11,2,1202695
Linkin Park,Breaking The Habit,200.07,4,2,1365175
Daniel Ingram,Winter Wrap Up,96,6,2,43812
halca,Toki toshite Violence (TV Size),182,3,3,1207987
yanaginagi,Hifukiyama no Mahoutsukai,164.84,5,3,161810
ZUN,Bad Apple!!,160.8,2,3,253501
ChouCho,Happy Fate,144,3,3,408807
Natsuiro Bikini no Prim,Nagisa no Koakuma Lovely~Radio,190,10,3,1435820
Myu,Panorama chime (Short Ver.),120,2,3,80200
katsu,Land of Snow,133,10,5,1393811
DWB feat. Fade,One Reason (TV Size),109,3,2,100892
Ogura Yui,Baby Sweet Berry Love,170,3,3,683677
Tama,Saigetsu (Midnight Moon Walker Remix),176,10,3,57126
ClariS,Colorful -movie MIX-,178,5,3,1510197
Karaage Sisters,1 - 2 - 3 (TV Size),183,3,3,1345265
CHiCO with HoneyWorks,Kessen Spirit (TV Size),188,4,3,1498771
TwoThirds,Bring it Back,174,10,5,333019
Igorrr,Pavor Nocturnus [2015],100,10,7,346740
All Levels at Once,Changeling,130,10,2,68169
Leo/need x Hatsune Miku,Stella,197,5,3,1491367
Kanda Sayaka,Ringo Uri no Utakata Shoujo,225.2,5,3,723541
Saosin,Collapse,182.92,4,2,331082
ASCA,Nisemono no Koi ni Sayounara with Wakeshima Kanon,175,4,3,1055201
Phoenix Legend,Zui Xuan Min Zu Feng,127,5,4,50453
Fotzu,POTOMIRU PINERA,180,10,14,1032450
Nightcore,Heaven is a Place on Earth,156.56,10,2,14010
Duca,"Kanransha ~Anohi to, Kinou to Kyou to Ashita to~",160,2,3,150462
Konoe Kanata (CV: Kito Akari),Silent Blaze,185,5,3,1602899
Sanshuu Chuugaku Yuusha-bu,Hanakotoba (TV Size),176,3,3,843145
Levela & Dub Zero,Overdrive,175,10,5,585794
solfa feat. Ceui,primal,185,5,3,1122445
_yoc,Crescendo,172,2,3,10033
Kurosaki Maon,Memories Last (TV size.),173,3,3,188300
Wisin & Yandel,Rakata (Cut Ver.),192,5,10,1446290
BTS,Dionysus,176,5,6,971842
Mineko Yamamoto,"Falling, The Star Light",178,3,3,767833
daniwellP,Nyanyanyanyanyanyanya!,142,10,14,31419
Aqours,MY Mai*TONIGHT,74,3,3,684769
LiSA,oath sign (TV Size),152,3,3,960503
Eri Sasaki,Ring of Fortune,145,3,3,306164
Tamura Yukari,W:Wonder tale (TV Size),158,3,3,132806
Laura Shigihara,Grasswalk IN-GAME,115.1,2,5,542934
supercell,Kimi no Shiranai Monogatari,165,3,3,48076
AKI AKANE,Hanabira (Irus Brutalcore Breaks Remix),210,10,3,332280
Sirio & D-Tox,Loudness War,205,10,14,27861
Aqours,HAPPY PARTY TRAIN,170,3,3,676193
Star Driver,5 Centimeters Per Second,150,10,2,239787
halca,Toki toshite Violence,182,5,3,1565520
Three,Kuuchuu Bunkai,200,4,3,952132
Asaka,SHINY DAYS (TV Size),110,3,3,723592
cYsmix,Dovregubben's Hall,140,2,5,360950
nowisee,microser,83,5,3,1456710
Duca,Natsukoi,184,5,3,1245057
Pastel*Palettes,Harumodoki (Asterisk DnB Remix) [Rakakun- Edit],175,2,3,1034608
yanaginagi,Vidro Moyou,131,3,3,552856
Aitsuki Nakuru,Melt 10th ANNIVERSARY MIX,170,5,3,1223737
sasakure.UK,Atropos,182,2,5,838536
Suzuki Konomi,Utaeba Soko ni Kimi ga Iru kara (TV Size),175,3,3,752950
Xiao Pan Pan & Xiao Feng Feng,Xue Mao Jiao,115,5,4,843389
Powerless feat. Sennzai,Lost Desire,170,2,3,1183900
Kicco,Get the Freedom,175,2,3,1159892
Various Artists,Super * Affection,184,5,3,1508326
AliA,Kakurenbo,180,4,3,1466465
YOASOBI,Halzion,130,5,3,1380291
Mami Kawada,Contrail ~Kiseki~,168,3,3,403894
Azusa Tadokoro,Koroaruki,189,4,3,1630113
DJ'TEKINA//SOMETHING,Hidamari no Uta,128,10,3,831322
KISIDA KYODAN & THE AKEBOSI ROCKETS,night birds,184,2,3,949316
Matsuda Arisa (CV: Murakawa Rie),Chou Jou Genki Show*Idol ch@ng!,170,3,3,911255
SAINt JHN,Roses (Imanbek Remix) (Cut Ver.),122,5,2,1158936
Hatsune Miku,Hatsune Miku no Gekishou,200,2,3,22672
Shounen Radio,neu,198.48,2,5,58422
Jeff Williams,Red Like Roses (feat. Casey Lee Williams),70,3,2,90128
kamome sano,starlights feat. TEA,174,10,3,525840
Ishida Youko & 501st JOINT FIGHTER WING (+Shizuka),Yakusoku no Sora e ~Watashi no Ita Basho~,188,3,3,982304
BAND-MAID,REAL EXISTENCE,185,4,3,1197228
Kano,Platonic Love,190,4,3,509292
Pendulum,Witchcraft,174,10,2,69076
ALiCE'S EMOTiON,Colors,160,2,3,29254
Nanjo Yoshino,Tasogare no Starlight,152,3,3,310609
senya,Musou no Hana,160,2,3,1376085
WALKUERE,Walkuere Attack!,177.98,3,3,545461
Aoi Eir,MEMORIA (TV Size),128,3,3,1197802
Perfume,Communication (Short Ver.),115,5,3,50006
Halozy,Kanshou no Matenrou,183,2,3,339400
DECO*27,Android Girl feat. Hatsune Miku,192,4,3,966552
Owl City,Good Time (Acoustic),122,5,2,149602
K/DA,"DRUM GO DUM feat. Aluna, Wolftyla, Bekuh BOOM",175,10,2,1309412
L'Antica,Junpaku Toroimerai,180,4,3,1402084
ShinRa-Bansho,Itazura Sensation,192,5,3,1276485
nameless,Toumei Elegy,220,4,3,723730
"Morikubo Syoutarou, Kakihara Tetsuya",ONLY YOUR STARS!,180,2,3,675185
yuikonnu,Yakimochi no Kotae -another story-,190,4,3,93397
Nanako,CIRCUS U CRIC,185,2,3,1242330
Nishino Kana,if,123,5,3,73413
Joe Ford,Villain,100,10,5,399126
Nanahira,Youkoso Japari Park e,170,3,3,691546
Sound Horizon,Kono Semai Torikago no Naka de,128,4,3,939496
Max Coveri,Golden Age,155.6,3,3,30549
S3RL,Scary Movie,175,10,2,858442
Kagamine Rin,Black Rebel,200,4,3,28425
Shinzato Kouta,HANDS UP! (TV Size),130,3,3,89705
kradness & Reol,Remote Control (Cut Ver.),165,10,3,1354117
Johnny Berglund,Angry Nu Metal Trailer No3,200,11,5,1025944
ZUN,Higan Retour ~ Riverside View,155,2,5,52260
Linked Horizon,Shinzou o Sasageyo! [TV Size],160,3,3,594230
Kawada Mami,Timeless time,92,2,3,382700
HOME MADE Kazoku,FREEDOM (TV Size),156,3,3,28530
i*Ris,Ultimate*MAGIC (TV Size),190,3,3,965596
x0o0x_,/ / // / /,130,10,3,1120289
