art,t,bpm,g,ln,s
fhana,Aozora no Rhapsody (TV Size),135,3,3,782631
The Red Jumpsuit Apparatus,False Pretense,155,4,2,30789
Kitamura Eri,Happy Girl (TV Size),145,3,3,43419
samfree,Luka Luka*Night Fever,160,10,3,933120
Kitazawa Ayaka,Kimi to no Nakushi Mono (TV Size),134,3,3,126480
Kalafina,Progressive,151,5,3,10548
Minamotoya feat. 3L,Hagetsu,134,2,3,187417
TUYU,Anoyo-iki no Bus ni Notte Saraba.,240,4,3,1583701
OISHII,PIZZA PLAZA,200,10,5,767009
Azusa Tadokoro,Junshin Always,180,3,3,402187
Oratorio The World God Only Knows,God only knows -Secrets of the Goddess- (Extract),145,3,2,692711
DevilishP feat.GUMI,Yume Maboroshi,190,4,3,325340
u's,Snow halation,173,3,3,209390
SOOOO,iiillluuuvvvUUU,200,10,3,959688
Ayano Mashiro,ideal white,180,3,3,240028
ani feat. moco,Light up My Love,171,2,3,83572
Shihori,Bloody Night,165,2,2,46223
nano,A Genesis,171,4,3,181384
Linked Horizon,Jiyuu no Tsubasa (TV Size),136,3,3,106440
3oh!3,HOTT,138,5,2,4886
Dirty Androids,City Never Sleeps,178,2,5,234030
Ceui,Finest Sky,176,2,3,437407
LiSA,Kimi ni Pierrot,177,4,3,441167
LiSA,crossing field (TV Size),179,3,3,55436
Gero,~Outgrow~ (TV Size),186,3,3,147763
Amairo*Quartet,Amairo,148,2,3,334128
Yunomi,Oedo Controller(feat. TORIENA)[Batsu Remix],132,10,3,469434
Zektbach,Raison d'etre,155,2,14,23355
Kawano Marina,Sono Koe o Oboeteru,169,3,3,616886
Kurosaki Maon,Gravitation (TV Size),200,3,3,864354
Yasuda Rei,1AM,125,5,3,943792
Matsushita,Kuuchuu Bunkai,200,4,3,799889
ClariS,CheerS (TV Size),102,3,3,814145
KOTOKO,Namida no Chikai,117.03,2,3,45626
Darren Korb,Forecast,185,2,5,705741
Hinata Ichigo,Nyanhou no Outa,143,2,3,150565
Fractal Dreamers,Ad Astra,210,10,5,965651
Taniuchi Hideki,Near no Theme,135,3,5,14409
Yasunori Shiono,Jimmy and Tommy,120.87,2,5,561762
Daiichi Uchuu Sokudo,SUPERORBITAL,176,3,3,46637
Junya Nakano,Tekishuu,153,2,5,307116
Misato Aki,Cross Illusion,165,2,3,28214
Memme,Avalanche,175,2,5,611095
Suara,Fuantei na Kamisama,156,3,3,365540
Rish feat. Choko,Punai Punai Gensou ~Punai Punai in Wonderland~,271,10,3,1555888
Shakira,Try Everything,115.5,3,2,419869
yanaginagi,Muteki no Soldier,210,4,3,52221
kors k,smooooch,177,2,5,119359
Blue Stahli,Suit Up,110,4,5,1061425
W.W.S,LOVE SHINE (Body Grooverz 2006 mix),177,2,2,13265
ClariS,SHIORI (TV Size),176,3,3,852998
Hashimoto Miyuki,Futuristic Player (TV Size),163,3,3,78777
Hanazawa Kana,Monochrome*HAPPY DAY (TV Size),134,3,3,103659
Kano,Stella-rium,177,3,3,356821
Sonitus Vir,Evergreen + Anima Mundi,135,6,5,131557
Machico,fantastic dreamer,185,3,3,420390
U,Let's Go Lovely Henshin Time!,190,2,3,19225
Haruna Luna,Overfly (TV Size),134,3,3,61441
eufonius,Paradigm (TV Size),160,3,3,55870
Rabpit,Sacred,150,2,5,1044692
GARNiDELiA,Yakusoku -Promise code-,198,3,3,727714
Ayane,Limelight no Zanka,86.5,5,3,1282405
Tarja,Until My Last Breath,127,6,2,60404
Shade,Ontology,234,2,5,1050313
ZUN,Septette for the Dead Princess,145,2,5,10770
Tennoji Rina (CV: Tanaka Chiemi),Tele Telepathy,145,5,3,1449568
Tamura Yukari,Endless Story (TV Size),79,3,3,37915
Duca,"Kanransha ~Anohi to, Kinou to Kyou to Ashita to~",160,2,3,150462
nano,Silence,114,4,3,240160
technoplanet feat. chamo,Tepic Tepoch,220,10,3,1551369
BlackYooh vs. siromaru,BLACK or WHITE?,185,2,5,628101
"Shimotsuki Haruka, Chata, Katakiri Rekka",Suishou ni Utsuru Himegimi,186,13,3,1126843
Cascada,How Do You Do (Nightcore Mix),177.5,10,2,203787
The Pretty Reckless,Kill Me,178,4,2,97187
Assertive Fluttershy,Boooring!,170,10,5,77534
Roselia,ONENESS,100,2,3,419257
sta,Iris,195,2,3,94917
Nobuyuki Shioda,Boss Theme,178.3,2,5,9502
Nanamori-chu*Goraku-bu,Yuru Yurinrinrinrinrin,185,3,3,437030
"Minase Inori, Hanazawa Kana, Iguchi Yuka, Hayami Saori","Koko kara, Koko kara (TV Size)",175,3,3,1140357
DJ THT,Head Over Heals (Nightcore Mix),180,10,2,267403
"Team ""Hanayamata""",Hana wa Odore ya Irohaniho (TVsize),160,3,3,191246
Tatsh feat. Hatsune Miku,Cinderella Romance,174,5,3,44903
Qrispy Joybox feat.mao,Good-bye Tears,174,2,3,52222
MARiA,COLOR,168,3,3,26871
MrSpazzaneve17,osu! MEGAMIX,179.9,6,3,399575
CircusP,Copycat,137,10,2,1176418
Denkishiki Karen Ongaku Shuudan,Lily Toxicity (Short Ver.),170,2,3,1066325
Survive Said The Prophet,MUKANJYO,190,3,3,1026970
Ceui,Last Inferno (TV Size),168,3,3,34324
eill,Koko de Iki o Shite (TV Size),107,3,3,1493915
HyuN,White Aura,200,10,5,996898
Larval Stage Planning,Stargazer,136,3,3,309113
Starving Trancer feat. MAKI,only my railgun,144,3,3,43513
Yumi Arai,Hikouki Gumo (el poco maro DnB EDIT),176,3,3,357161
BeautifulDay,Beautiful Day,140,2,6,24039
Yasuharu Takanashi,Invoke Magic,130,3,5,25127
Suga Shikao,Hajimari no Hi (TV Size),127,3,3,17510
Dani Rosenoer X Arc North,Onward (pt.II),160,10,2,735153
96neko,Uso no Hibana,188,3,3,569503
Nagashima Hideyuki,Orange Mystery (TV Size),133.65,3,3,1523665
Reol,Saisaki,105,5,3,858075
Tomohito Nishiura,Moonlight Tango,132,2,5,536001
USAO,Blows Up Everything,215,10,5,1029446
Underoath,Writing on the Walls,184,4,2,292733
O2i3,TSLove,185,10,5,620910
fripSide,fortissimo -the ultimate crisis-,145.5,2,3,20759
LukHash,8BIT FAIRY TALE,175,10,5,847930
Hanatan,Kokoronashi,168.16,4,3,449760
_yosuke & MOKONA,Sumowind,100,13,3,44782
Caramelos de Cianuro,Verano,125.85,4,10,74341
Sakamoto Maaya,Yakudou,205,5,3,1405040
IOSYS,Endless Tewi-ma Park,128,2,3,48874
a_hisa,Fairy Dance,110,6,5,151219
sweet ARMS,Blade of Hope(TV size),188,2,3,448166
TSUNKU,Shugyou no Thema,189,2,5,660914
Uchida Aya & Kubo Yurika,"Kokuhaku Biyori, desu!",172,3,3,227994
Ella Eyre,Good Times,175,10,2,693432
Guilty Kiss,Shadow gate to love,105,3,3,630109
MK feat. YURiE,Spiral,180,10,3,16668
May'n,Scarlet Ballet (TV-SIZE MIX),155,3,3,173051
Escape The Fate,Forget About Me (Cut Ver.),190,4,2,1429757
Lexurus,Gravity,174,10,5,789529
ZYTOKINE,Dancing Dollz feat. cold kiss - REDALiCE Remix,175,2,3,690966
Ohashi Ayaka,Wagamama MIRROR HEART (TV Size),181,3,3,555617
ginkiha,Anemoi,186,10,5,1203594
DECO*27,Vampire feat. Hatsune Miku,164,5,3,1432678
Niira Etsuko,Shinyaku no Yoru,173.05,3,3,14714
K2,What's Your Deep Wish?,128,2,3,48721
Akiyama Uni,Kaoru Juyouka,138,2,5,397764
Hashimoto Miyuki,TIME (Short Ver.),138,2,3,31421
Mizutani Runa,Philosophyz,160,2,3,33499
CHiCO with HoneyWorks,Pride Kakumei,185,3,3,342242
Camellia feat. Nanahira,"senpai, notice me!",155,10,2,962092
Demetori,Desire Drive ~ Desire Dream,178,2,5,42234
DJ Totoriott,Arcanos,192,2,5,136333
S.S.H.,Holy Orders,272.06,2,5,31750
L.E.D.-G,SOUND OF GIALLARHORN,184,2,5,155457
Akatsuki Records,"SAMURAI GHOST GIRL, KILL! KILL!",133,2,3,1073159
Yousei Teikoku,Kuusou Mesorogiwi (TV Size),230,3,3,38565
MY FIRST STORY,KING & ASHLEY (TV Size),215,4,3,1587638
Camellia,Chirality,201,2,5,227598
Amamiya Sora,Skyreach (TV size),184,3,3,191415
fhana,Kimi to Iu Tokuiten [singular you],175,5,3,414530
Juno,Focus,180,2,5,316562
LiSA,"Thrill, Risk, Heartless",200,2,3,718447
cYsmix,Dovregubben's Hall,140,2,5,360950
THE ORAL CIGARETTES,STAY ONE,200,4,3,1105934
UNDEAD CORPORATION,Karakurenai,170,11,3,1232084
Oku Hanako,Kimi no Hana (TV size),153.98,3,3,555792
solfa feat. Ceui,brand new day,151,5,3,825760
SAINT PEPSI,ENJOY YOURSELF,96.9,10,2,662892
P!nk,True Love ft. Lily Allen,96,5,2,651376
"Hatsune (CV: Ohashi Ayaka), Shiori (CV: Koshimizu Ami)",Smiley Contrast,170,2,3,967502
Kuriyama Chiaki,Kanousei Girl (TV Size),180,3,3,41157
RAISE A SUILEN,HELL! or HELL?,197,4,3,1251944
Masayoshi Soken,The Reach of Darkness,139.5,2,5,551049
ParagonX9,Chaoz Fantasy,162.35,10,5,12465
KAORI,Tears Infection (TV Size),184,3,3,11058
Shinzato Kouta,HANDS UP! (TV Size),130,3,3,89705
Igorrr,Tout Petit Moineau,212,10,5,212180
"Hanako (CV: Kino Hina), Olivia (CV: Nagae Rika), Kasumi (CV: Kohara Konomi)",Three Piece (TV Size),74,3,3,835472
Love Generation,Just a Little Bit,130,5,2,48713
Celldweller,The Best It's Gonna Get,130.01,4,2,36529
ZUN,Necrofantasia,164,2,5,15812
True Damage,"GIANTS (feat. Becky G, Keke Palmer, SOYEON, DUCKWRTH, Thutmose)",140,2,2,1063804
Gentle Stick X M2U,Hades in the Heaven,130,10,5,114488
R-15,HIRAMEKI! Peace (TV Size),168,3,3,36832
Demetori,Innocent Treasures,189,2,5,15393
Streetlight Manifesto,The Blonde Lead The Blind,276,5,2,376545
SawanoHiroyuki[nZk]:mizuki,aLIEz,99,3,3,211516
Katsura Hinagiku starring Itou Shizuka,Haru ULALA LOVE yo Koi!!! (TV EDIT),175,3,3,105849
Arctic Monkeys,Still Take You Home,218,4,2,631466
Aqua Timez,Alones,95.17,3,3,7634
Bu Shi Hua Huo Ya,Yun Luo,130,5,4,1415032
SoundTeMP,Christmas in the 13th Month,160,2,5,220675
"Master Andross feat. Annapantsu, Rachie, Suiren & Takara",WANNABE,140,5,2,1152306
Hanatan,You and beautiful world,150,5,3,138220
An,TearVid,195,10,5,37980
Dark PHOENiX,Shunshun Shuugetsu,194,2,5,1086990
Lucky Star Cast,Hamatte Sabotte Oh My Ga! (Short Ver.),169.96,3,3,2164
Mimori Suzuko,Univer Page (TV Size),187,3,3,901187
HTT,Singing!,180,3,3,68399
Ogura Yui,Honey Come!! (TV size),184,3,3,360628
GUHROOVY,LA FESTA LA VITA!!,180,2,5,195823
Vickeblanka,Black Rover (TV Size),235,3,3,798677
Hanatan,Kotoba Tsunagi,176,2,3,41764
DJ Manian,Welcome To The Club,150,10,2,18630
Flower,Taiyou to Himawari,91,5,3,476730
Yuuhei Satellite,"Otogibanashi no Karakuri wa,",134,2,3,778920
Gojou Kai,Touhou Youkai Komachi,175,2,5,3847
Earth Star Dream,Yumeiro Toridori Parade,138,3,3,438957
Horie Yui,Coloring,117,3,3,532827
"Touyama Nao, Hanazawa Kana, Komatsu Mikako, Asumi Kana",Souzou Diary,181,3,3,217546
Glasperlenspiel,Nie vergessen,107,5,8,225982
Goose house,Fuyu no Epilogue,72,5,3,330396
KISIDA KYODAN & THE AKEBOSI ROCKETS,nameless story (TV Size),194,3,3,1103008
Epik High ft. Taru,1 Minute 1 Second,155,9,6,63834
Vesuvia Project,Night Hunter,130,2,5,109283
"Kagamine Rin & Len, NicoNico Chorus",Migikata no Chou,140,5,3,11019
ELISA,Dear My Friend -Mada Minu Mirai e- (TV size),129,3,3,471261
Aso Natsuko,More-more LOVERS!! (TV Size),182,3,3,24650
Groove Coverage,God is a Girl,142,10,2,9284
"Rie Kugimiya, Eri Kitamura & Yui Horie",Pre-Parade (TV Size),160,3,3,27523
Hiroshi Ohkuba,Eat 'Em Up!,152,2,5,9638
DJ Genki vs. Camellia feat. moimoi,Sunshine,170,10,3,1454177
U1 overground,Dopamine,200,10,5,210316
Yucha-P,Thieves Night Trick,218,4,3,78268
"Post Malone, Swae Lee",Sunflower,90,3,2,895391
07th Expansion,Final Answer,180,2,5,36272
EFM-7,Raver Raver Raver,175.5,10,2,76830
Noisestorm,Solar,175,10,5,33483
Ruppina,violet flow,92,5,3,302913
Avizura,Lucky Star,175,10,2,130546
ORESKABAND,Pinocchio,202,3,3,674401
IRON ATTACK!,Future is Undefined,200,2,5,32447
Tsukasa (Arte Refact),Fragrance,180,10,5,668378
BUMP OF CHICKEN,"Hello,world!",211,3,3,302799
halca,Toki toshite Violence (TV Size),182,3,3,1250510
R3 Music Box,Zen Zen Zense,132,3,5,620051
Lala & Haruna (CV:Tomatsu Haruka & Yahagi Sayuri),Apple Panic!?,158,3,3,427372
u's,Angelic Angel (Movie Edit),160,3,3,410598
Duca,Zettai Darli'n,170,2,3,414709
NANA starring MIKA NAKASHIMA,GLAMOROUS SKY,150,5,3,471861
ClariS,Connect -Orchestra ver.- (Short Ver.),175,3,3,1363677
Amamiya Sora,PARADOX (TV Size),166,5,3,1132121
Eguchi Takahiro,silver temple,180,6,5,154954
ONE OK ROCK,Jibun ROCK (Cut Ver.),166,4,3,1219488
solfa feat. Chata,Colorful precious life,180,2,3,54782
the peggies,Centimeter (TV Size),140,3,3,1197699
Megpoid GUMI & Kagamine Rin,Invisible,192,4,3,45160
Maisaki Nami,Rokka no Uta Nihongo ver.,116,2,3,877821
Blank Banshee,B:/ Infinite Login,90,10,2,618938
Poppy,Pokemon x Poppy,148,4,2,1244395
Owl City,Dreams Don't Turn To Dust,90,10,2,576684
Hikaru Station,Bishounen (Kaivaan Version),150,5,2,663309
rerulili,Noushou Sakuretsu Girl,155,5,3,63434
Uchida Maaya,-Across the line- (short size),161,3,3,116938
BANPRESTO,Dark Prison,132.9,2,5,162284
Koike Joanna,BEAUTIFUL WORLD,180,3,3,181551
TUYU,Dorei Janai nara Nan Desu ka?,117,5,3,1519920
Shimatani Hitomi,Angelus (TV Size),131,3,3,53834
Syuiro,Ama no Jaku,200,4,3,39817
Groove Coverage,21st Century Digital Girl Remix (Nightcore Ver.),171.82,10,2,13771
Marina and The Diamonds,Homewrecker,133,5,2,341520
Jin feat. MARiA from GARNiDELiA,daze (short ver.),198,3,3,168380
Akiyama Uni,"Yuuga ni Sakase, Sumizome no Sakura ~ Border of Life",145,2,5,32380
Galileo Galilei,Banana Fish no Hamabe to Kuroi Niji with Aimer,148,4,3,1363146
Lil Peep & XXXTENTACION,Falling Down,120,5,2,1098331
KOTOKO,Light My Fire (TV Size),186,3,3,40931
Rin Kagamine,Meltdown,82.5,4,3,9070
Kido Ibuki & Yamazaki Erii,pupa,240,3,3,691223
Nakamura Meiko,Across the Destiny,126,2,3,98096
Jonathan Coulton & GLaDOS,Want You Gone,100,2,2,29217
succducc,me & u,160,5,2,699749
nobodyknows+,Kokoro Odoru,226,3,3,1020878
Darude,Sandstorm,136.06,10,5,6180
Kanzaki Elza starring ReoNa,Independence,205,3,3,780318
Marina and the Diamonds,Bubblegum Bitch,158,5,2,1189331
Draper,Joyride,170,10,5,392188
KOTOKO,Sakuranbo Kiss,140,5,3,17667
Hecq,Dstrukt,256,10,5,54624
lily white,Binetsu kara Mystery,172,3,3,276245
Chata,Miren,134,5,3,23615
Risa Yuzuki,Cinderella Maker (feat. Yuyuta & Morimori Atsushi),210,5,3,1582952
Nanahoshi Kangengakudan,Rubik's Cube,174,4,3,837869
Ryu* Vs. L.E.D.-G,PARADISE LOST,200,2,5,70046
Nekomata Master feat. Hayashi Momoko,Rainbow after snow,179,2,3,112399
Hanatan,Nijigen Dream Fever,180,4,3,98042
R3 Music Box,Last Remote,78,2,5,1573417
SoundTeMP,Dreamer's Dream,140,2,5,350381
Otokaze,Ame Michi,95,6,5,65545
HO-KAGO TEA TIME,"NO, Thank You! (TV Size)",181,3,3,906382
Alex S.,Party With Pinkie,125,5,2,36682
Duca,Kanransha ~ Anohi to Kinou to Kyou to Ashita to ~,160,2,3,144010
Nakamura Mamechiyo,Kare Kano Kanon,180,2,3,37090
Nishizawa Shiena,FUBUKI (TV Size),180,3,3,858586
AYUMIKURIKAMAKI,Honey Honey Honey(TV size),153,3,3,403924
BTS,FAKE LOVE,77.5,5,6,787712
Tarkan,Dudu,182,5,14,32594
Shiode Misaki,Koi no Su*Ichakoraizu,127,5,3,1365609
Nakahara Mai,Hatsukoi wa Zakuro Iro,160,3,3,23933
Train,Drive By,122,5,2,93629
Disasterpeace,Home,130,2,5,1195922
Toyosaki Aki,GO!GO!MANIAC,250,3,3,14692
"Yui (CV: Taneda Risa), Hiyori (CV: Touyama Nao), Rei (CV: Hayami Saori)",TwinkleStars,172,2,3,1012181
Parry Gripp,There's A Cat Licking Your Birthday Cake,110,7,2,645142
angela,KINGS (TV Size),87,3,3,64779
Drop,Granat,180.96,6,5,833513
Araki,Teo,185,4,3,759178
Shimotsuki Haruka,Kibou no Sora,169,2,3,109900
Hien Ryuubu,Kung-fu Empire,177,2,5,26093
Ayane,GO Love&Peace,128,2,3,109991
Kola Kid,can't hide your love,200,10,5,1099325
Yasuda Rei,I & U,130,5,3,1220505
7!!,Bye Bye (TV Size),130,3,3,37877
JUNNA,Here,108,3,3,737103
Yamamoto Mineko,Shiroi Sakura Saite,176,5,3,1313749
Kinya Kotani,BLAZE,130,3,3,9476
M2U,Velocity,160,10,5,891581
Rohi,Kakuzetsu Thanatos,200,10,3,1151959
Suzuki Konomi,DAYS of DASH (TV Size),160,3,3,71687
Tianshi,Party Night,135,10,3,17596
fourfolium,SAKURA Skip,165,3,3,488619
Linkin Park,Guilty All The Same (feat. Rakim),200,4,2,342472
Florence,"Komm, susser Tod",160,10,2,22618
Team Nekokan,Can't Defeat Airman,200,2,3,25
Touyama Nao,Magical Mah-jongg World,160,3,3,74687
Creo,Challenger,128,10,5,966240
The Quick Brown Fox,Big Money,280,10,2,101766
Megpoid GUMI,Checkmate,196,4,3,50638
May'n,graphite/diamond (TV Size),195,3,3,1037591
i.o,Hanikamu Kimi ni Koi Suru Watashi,189,2,3,427558
Hirano Aya,Super Driver,200,3,3,21499
Mizutani Runa (NanosizeMir),Philosophyz ~TV animation ver.~ (TVsize),160,3,3,477045
U-ka saegusa IN db,Kimi to Yakusoku shita Yasashii ano Basho made,170,3,3,294186
ChouCho,Yasashisa no Riyuu (TV Size),177,3,3,53681
Kano,Stella-rium,177,3,3,1107950
feru.*,etWas,132,10,5,1534144
nano feat. MY FIRST STORY,SAVIOR OF SONG (TV Size),192,3,3,121716
Hatsuki Yura,Intense Desire,152,2,3,54885
Nuage,Don't Hide These Feelings,173,10,5,60092
Tsubaki,Kyun Kyun Tamaran Inaba-tan.,180,2,3,98711
LamazeP,Triple Baka,180,10,3,1224831
Amatsuki,DORAEMON,160,3,3,1327531
kors k,smooooch,177,2,2,64535
Tanimoto Takayoshi,Mienai Tsubasa (TV Size),170,3,3,701601
nano,Bull's Eye (TV Size),192,3,3,788233
LukHash,8BIT FAIRY TALE,175,10,5,1045131
fourfolium,Gugutto Work* (Short Ver.),186,2,3,568914
DJ TOTTO feat. Enako,Precious * Star,178,2,5,988151
Nanamori-chu * Goraku-bu,My Pace de Ikimashou,190,3,3,335145
the peggies,Kimi no Sei,174,5,3,1415985
Dreamcatcher,Wake up,144,5,6,645662
Cobra Starship,Snakes on a Plane (Bring It),139,4,2,14230
MY FIRST STORY,2 FACE,205,4,3,984481
Baechuuimihang,Ttakpullnyeoro drop it,128,7,14,299643
THE ORAL CIGARETTES,Miss Tail (Cut Ver.),180,4,3,1255210
Miss Monochrome (CV: Horie Yui),Poker Face (TV Size),136,3,3,821033
Coldplay,Paradise,140,5,2,59619
Iwasaki Taku,Dance Macabre,123,3,5,87545
Suzuki Konomi,My Days,200,2,3,815969
BIGBANG,Wings,132,5,6,70740
fripSide,Hesitation Snow (Short Ver.),135,2,3,42534
Rammstein,Los,124,4,8,235551
Toyosaki Aki,Cagayake! GIRLS (TV Size),170,3,3,6358
Disco da gama feat. R.Cena,sakura,144,3,3,22719
Chia,Zai Jian Cinderella,136,2,4,389577
Tamura Yukari feat. motsu from m.o.v.e,You & Me,160,2,3,67093
kors k,Flip Flap,175,2,5,96796
Alestorm,Keelhauled,110,11,2,9215
Hatsune Miku,Electric Love (Short Ver.),128,10,3,44591
DragonForce,Symphony of the Night,177,11,2,984228
Starset,Unbecoming,138,2,2,1108346
Nelly ft. Fergie,Party People,164.01,9,2,12721
Renard,Terminal,185,10,5,102282
ChouCho,Yasashisa no Riyuu,177,3,3,63222
Rib,Akaito,170,4,3,416792
u's,Bokura wa Ima no Naka de,196,3,3,79049
Aoyama Mio starring Yuuki Aoi,Platinum,164,3,3,177595
KOTOKO,Oboetete Ii yo,178,5,3,53791
ChouCho,Ashita no Kimi sae Ireba Ii.,175,3,3,679369
CHiCO with HoneyWorks,Minikui Ikimono (TV Size),195,3,3,1342646
sasakure.UK x DECO*27,39,175,4,3,262339
Owl City,Up All Night,91.5,5,2,301802
Amatsuki,STARTRAiN,178,3,3,1094460
HyuN feat. LyuU,Cross Over,200,10,6,1209029
Team AA,Pulse,184,3,3,474834
niki,WAVE,130,10,3,74606
07th Expansion,Final Answer,180,2,5,26226
ASIAN KUNG-FU GENERATION,After Dark (TV Size),191,4,3,1129438
Fremy Speeddraw (CV: Yuuki Aoi),Nameless Heart(TV edit.),88,3,3,403575
Mizuno Saaya,My Secret (TV Size),184,3,3,1123648
QLOCKS,Aozora,130,2,5,7248
Nishino Miku,Happy Nandakara Iijan (Short Ver.),180,2,3,78852
Yasuda Rei,Let It Snow,122,5,3,544324
Kucchi vs Akki,Yakumo >>JOINT STRUGGLE,187,2,5,688877
Watashi (CV: Yuuki Aoi),Ganbare! Kumoko-san no Thema (TV Size),190,4,3,1345755
Kraster,Desire?,152,2,3,17780
Camellia,Chirality,201,2,5,692068
GHOSTEMANE,Mercury: Retrograde,157,9,2,838193
tofubeats,CANDYYYLAND feat. LIZ (Pa's Lam System Remix),160,10,2,1045741
Cash Cash,Forever Young,136,10,2,21155
ONE OK ROCK,One by One,197,4,2,1148073
Masayoshi Yagami,Atomic Heat,175,2,3,47310
Kevin Manthei,"""Invader Zim"" Theme Song",120.1,6,5,530071
Swimy,Acchi Muite (TV Size),187,4,3,1444242
yuiko,Kimi to Yumemishi,182,2,3,488586
DJ'TEKINA//SOMETHING,Internet bitch P*Light Remix,175,10,3,296198
Kawada Mami,No buts! (TV Size),183,3,3,924000
KISIDA KYODAN & THE AKEBOSI ROCKETS,Rewriter,186,4,3,1062721
RURUTIA,Phronesis,180,2,3,542224
Shimotsuki Haruka,a little more,170,2,3,816373
livetune adding Takuro Sugawara(from 9mm Parabellum Bullet),SEN NO TSUBASA,170,3,3,191241
Day6,Man in a movie,120,5,6,745457
ARM x Komso feat. Nanahira,Onegai! Kon kon Oinarisama,175,2,3,1302044
Nya~tan(CV: Murakawa Rie),Retry*Rendezvous[TVsize ver.],175,3,3,411035
Hello Sleepwalkers,Goya no Machiawase,189,4,3,1009913
The Tachibanazu,Let's Go! Atashinchi,174.01,3,3,390867
Mimori Suzuko,Light for Knight,190,3,3,692091
Nico Nico Chorus,Rolling Girl (Band Arrangement),195,4,3,35023
EDOGA-SULLIVAN,WONDERFUL WONDER (TV Size),160,3,3,976908
Remo Prototype[CV: Hanamori Yumiri],Sendan Life,227,3,3,639318
Ogura Yui,Honey Come!! (TV Size),184,3,3,334447
ROUND TABLE featuring Nino,Yakusoku no Basho,144,3,3,109425
Yoche feat. Mayu,Chocolate Dancing,90,2,3,123409
"Riko (CV: Miyu Tomita), Reg (CV: Mariya Ise)",Deep in Abyss,135,3,3,724343
LISA,LALISA,150,5,6,1573933
Taketatsu Ayana,Majokko Mirakurun (Short Ver.),185,3,3,45410
Fractal Dreamers,Fortuna Redux,200,10,5,712974
yuikonnu,Heart no Atoaji,186,4,3,547504
Raymond Wong,Shaolin Soccer Opening,138.01,6,5,24188
ZUN,The Dark Blowhole,160,2,5,14322
Tokiwa Yuu,Shounen Ripples,210,2,3,39678
kradness&Reol,Okochama Sensou,175,5,3,369058
Nico Nico Douga,"Election Angel, Uh!",140,7,3,19312
Hoashi Keigo,Vague Hope - Cold Rain,128,12,14,1275770
Ogura Yui,Sing-a-ling-a-Harmony,132.6,5,3,299769
Tanimoto Takayoshi,Mikakunin Hikousen (TV Size),190,3,3,1146886
Lonely God,Marlboro Nights,176,9,2,1552275
THE ORAL CIGARETTES,Shala La (Cut Ver.),192,4,3,1341604
"Team ""Hanayamata""",Hana wa Odore ya Iroha ni Ho (TV Size),160,5,3,1512150
Silver Forest,Marisa*Quest ~Otakara Sagashi Daisakusen~,156,2,3,40976
Rita,Primary,167,3,3,21611
Nekomata Master+,squall,190,2,5,66224
Otani Kow,Zetsubo to no Wakare ~Kyozo to no Tatakai~,160,2,5,745524
ChouCho,Million of Bravery,160,2,3,84597
nano.RIPE,Kamisama,86,5,3,321328
Void_Chords feat. LIO,FLARE (TV Size),164,5,2,1539923
saradisk,083 - nekomimi,200,7,3,1173332
Katakiri Rekka,TSUBASA -Game size-,180.5,2,3,193832
Aimer,Black Bird,81,5,3,849225
Perfume,Dream Fighter,135,5,3,910680
Ayana Taketatsu,Over the Starlight,120,3,3,27700
Masayoshi Minoshima,Last Remote,87.5,2,3,12181
Daniele Meo,Adesso Balla! (Butterfly Remix),154.4,10,11,18234
fripSide,floral summer,146,2,3,1015513
mimimemeMIMI,Sentimental Love,138,3,3,123956
Yasuda Rei,Kimi no Uta TV ver.,76,3,3,610059
ClariS,irony (TV Size),134,3,3,1020475
yanaginagi,Tokohana (TV Size),150,3,3,1059162
Ito Kashitaro x Lon,Soushi Sou Ai,195,2,3,669776
Tiara feat. WISE,Toki wo Tomete,95,5,3,64633
yanaginagi,Tokohana,150,3,3,181310
HachioujiP feat. Hatsune Miku,take it easy,128,10,3,794069
Nekomata Master,Welcome to tricoro system,160,2,5,166038
Kuribayashi Minami,Tsubasa wa Pleasure Line (TV Size),180,3,3,32336
Chima,Hajimari no Shirushi (Anime Size),71.5,3,3,612207
Kaneko Chiharu,iLLness LiLin,280,10,5,634147
Katy Perry,E.T. (Cut Ver.),150,5,2,1060234
ReoNa,Nai Nai (TV Size),130,5,3,1435839
Ray,lull ~Soshite Bokura wa~ (TV Size),133,3,3,121046
Dancing Dolls,monochrome (TV Size),132,3,3,172382
Donkeyboy,City Boy,121,5,2,44875
Daisuke,Natsumeku Sakamichi (TV Size),156,3,3,596618
Susumu Hirasawa,Aurora 2,140,5,3,10978
Little Glee Monster,Your Name (TV Size),120.05,5,3,1675222
DJ Mikesh,Be Free (Nightcore Mix),174,10,2,238360
good-cool feat. CHiCO,In The Ruins,156,2,2,29392
Maaya Sakamoto,Waiting for the rain,82.5,3,2,378506
TUYU,Anoyo-iki no Bus ni Notte Saraba.,240,4,3,1080224
Star Driver,5 Centimeters Per Second,150,10,2,239787
Aso Natsuko,Lovely Girls Anthem (TV Size),130,3,3,43020
ABSOLUTE CASTAWAY,Konpeitou Retrotica,180,4,3,1522511
YURiKA,MIND CONDUCTOR,180,3,3,925219
Kousaka Honoka (CV: Nitta Emi),Snow halation (HONOKA Mix),173,3,3,982344
SYO,behind the heart,133,2,3,42832
UI-70,Invisible Full Moon,159,2,5,5763
fripSide,cheer up forever,153,2,3,14747
Aoi Eir,RYUSEI (TV Size),143,3,3,762489
Rita,Blue on Blue,85,2,3,202925
