art,t,bpm,g,ln,s
NateWantsToBattle feat. Amanda Lee,Kuusou Mesorogiwi,115,3,2,897035
DIALOGUE+,Omoide Shiritori (TV Size),172,3,3,1434346
Eisyo-kobu,Oriental Blossom,180,2,5,747823
u's,Korekara no Someday,240,3,3,335711
Reol,MONSTER,164,4,3,366440
GazettE,Shiver (TV Size),240,3,3,17953
S3RL,Bass Slut (Original Mix),175,10,2,375648
Nekomata Master feat. Misawa Aki,chrono diver -fragment-,185,2,3,429665
UNDEAD CORPORATION,Everything will freeze,240,2,5,158023
EVO+,[A]ddiction,164,5,3,378803
Inori Minase,Aimaimoko,133,3,3,669017
Murasaki Hotaru,Re:TrymenT,190,2,3,794111
EMILIA (CV: Rie Takahashi),Stay Alive,70,3,3,488396
Baby Alice,Pina Colada Boy (Nightcore Mix),141.25,10,2,29864
FELT,In my room,165,10,5,206284
supercell,My Dearest (TV Size),168.7,3,3,38579
ChouCho,Yasashisa no Riyuu,177,3,3,685391
Coalamode.,Nanairo Symphony (TV Size),155,3,3,831389
t+pazolite,Refactoring Travel (feat. Nanahira) (Cut Ver.),240,10,3,1493251
Krfawy,Kac (TV Size),112,10,5,273355
Shiggy Jr.,oyasumi,200,4,3,1161953
Horie Yui,Asymmetry (TV Size),173,3,3,896631
Suzuki Konomi,Realize (TV Size),206,3,3,1196770
Wakeshima Kanon,"World's End, Girl's Rondo(Asterisk DnB Remix)",175,3,3,444049
"JO*STARS ~TOMMY, Coda, JIN~",JoJo Sono Chi no Kioku ~end of THE WORLD~ (TV Size),220,3,3,623862
Nanahira,Tobidase! Sweet Sweet Magic*,180,10,3,42837
Drop,Granat,180.96,6,5,219763
Umeboshi Chazuke,Bison Charge,243,10,5,1368447
Lite Show Magic (t+pazolite vs C-Show),Crack Traxxxx,220,2,5,139525
MYTH & ROID,STYX HELIX,123,3,3,444632
amazarashi,Kisetsu wa Tsugitsugi Shindeiku -Tokyo Ghoul Root A Edit-,181,3,3,271339
EGOIST,The Everlasting Guilty Crown (TV Size),172,3,3,996696
fripSide,sister's noise (TV Size),144,3,3,87871
Kuroki Meisa,Wired Life (TV Size),128,3,3,35299
Takagi-san (CV: Takahashi Rie),Kimagure Romantic (TV Size),170,3,3,784563
Aimer,LAST STARDUST,81.33,3,3,539860
Rita,Little Busters! -TV animation ver.-,151,3,3,56259
Warak,REANIMATE,174,2,5,489190
Hino Isuka,Dreamin' attraction!!,205,10,5,1404850
96neko,Uso no Hibana (TV Size),188,3,3,1442335
